chain_id,scenario_id,scenario_name,inspection_type,primary_score_item_id,secondary_score_item_ids,risk_or_hidden_danger_point,problem_statement_template,rectification_template,report_section_hint,evidence_chain,photo_points,answer_policy,default_severity,default_deduct_policy,deduct_runtime_binding,runtime_status,final_state,runtime_integration,approval_status,approval_source,approved_baseline_version
CHAIN::SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER::FIRST,SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,通用生产经营、一般固废、噪声与基础台账,FIRST,S01,S02;S06;S07;S10,生产活动与手续不一致；一般固废/噪声/台账证据不足；现场事实需确认,现场核查发现【通用生产经营、一般固废、噪声与基础台账】存在风险：生产活动与手续不一致；一般固废/噪声/台账证据不足；现场事实需确认,请依据环评、批复、许可、台账和现场事实补齐证据链：营业执照或医疗机构执业许可证；环评/批复/排污许可或登记回执；生产设备清单；一般固废合同或台账；厂区平面图,S01 环保手续完善情况;S02 环保台账规范情况;S06 环保治理设施运行情况;S07 固体废物贮存规范情况;S10 废水、废气、噪声、废渣排放及处置情况,营业执照或医疗机构执业许可证；环评/批复/排污许可或登记回执；生产设备清单；一般固废合同或台账；厂区平面图,厂区入口或生产区域全景；主要生产线/加工设备；一般固废暂存点全景和标识；高噪声设备及隔声/减振措施；台账封面和最近记录页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER::MONTHLY,SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,通用生产经营、一般固废、噪声与基础台账,MONTHLY,S01,S02;S06;S07;S10,生产活动与手续不一致；一般固废/噪声/台账证据不足；现场事实需确认,现场核查发现【通用生产经营、一般固废、噪声与基础台账】存在风险：生产活动与手续不一致；一般固废/噪声/台账证据不足；现场事实需确认,请依据环评、批复、许可、台账和现场事实补齐证据链：营业执照或医疗机构执业许可证；环评/批复/排污许可或登记回执；生产设备清单；一般固废合同或台账；厂区平面图,S01 环保手续完善情况;S02 环保台账规范情况;S06 环保治理设施运行情况;S07 固体废物贮存规范情况;S10 废水、废气、噪声、废渣排放及处置情况,营业执照或医疗机构执业许可证；环评/批复/排污许可或登记回执；生产设备清单；一般固废合同或台账；厂区平面图,厂区入口或生产区域全景；主要生产线/加工设备；一般固废暂存点全景和标识；高噪声设备及隔声/减振措施；台账封面和最近记录页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_WW_PROCESS_AND_TREATMENT::FIRST,SCN_WW_PROCESS_AND_TREATMENT,生产/医疗/清洗废水与污水处理设施,FIRST,S06,S10;S02;S03;S13,废水来源不清；污水站停运或绕排；排口/接管证据缺失,现场核查发现【生产/医疗/清洗废水与污水处理设施】存在风险：废水来源不清；污水站停运或绕排；排口/接管证据缺失,请依据环评、批复、许可、台账和现场事实补齐证据链：排水去向证明；污水站工艺流程图；运行台账；监测报告；排口信息；在线监测联网证明,S06 环保治理设施运行情况;S10 废水、废气、噪声、废渣排放及处置情况;S02 环保台账规范情况;S03 环保相关系统完成情况;S13 环保应急管理情况,排水去向证明；污水站工艺流程图；运行台账；监测报告；排口信息；在线监测联网证明,废水产生工位或清洗点；污水站全景；关键处理单元和设备铭牌；废水总排口/接管口；在线监测设备、数采仪和联网状态屏,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_WW_PROCESS_AND_TREATMENT::MONTHLY,SCN_WW_PROCESS_AND_TREATMENT,生产/医疗/清洗废水与污水处理设施,MONTHLY,S06,S10;S02;S03;S13,废水来源不清；污水站停运或绕排；排口/接管证据缺失,现场核查发现【生产/医疗/清洗废水与污水处理设施】存在风险：废水来源不清；污水站停运或绕排；排口/接管证据缺失,请依据环评、批复、许可、台账和现场事实补齐证据链：排水去向证明；污水站工艺流程图；运行台账；监测报告；排口信息；在线监测联网证明,S06 环保治理设施运行情况;S10 废水、废气、噪声、废渣排放及处置情况;S02 环保台账规范情况;S03 环保相关系统完成情况;S13 环保应急管理情况,排水去向证明；污水站工艺流程图；运行台账；监测报告；排口信息；在线监测联网证明,废水产生工位或清洗点；污水站全景；关键处理单元和设备铭牌；废水总排口/接管口；在线监测设备、数采仪和联网状态屏,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_VOCS_SOLVENT_AND_TREATMENT::FIRST,SCN_VOCS_SOLVENT_AND_TREATMENT,VOCs溶剂使用、无组织排放与废气治理,FIRST,S10,S06;S02;S07,VOCs无组织逸散；废气治理设施低效；废活性炭更换证据缺失,现场核查发现【VOCs溶剂使用、无组织排放与废气治理】存在风险：VOCs无组织逸散；废气治理设施低效；废活性炭更换证据缺失,请依据环评、批复、许可、台账和现场事实补齐证据链：原辅料MSDS；采购或领用台账；废气治理设施运行记录；活性炭更换记录；废气监测报告；危废台账,S10 废水、废气、噪声、废渣排放及处置情况;S06 环保治理设施运行情况;S02 环保台账规范情况;S07 固体废物贮存规范情况,原辅料MSDS；采购或领用台账；废气治理设施运行记录；活性炭更换记录；废气监测报告；危废台账,含VOCs物料包装标签和MSDS关键页；调配/转移/使用点位密闭状态；集气罩或密闭间；治理设施全景和铭牌；废活性炭/废过滤棉暂存状态,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_VOCS_SOLVENT_AND_TREATMENT::MONTHLY,SCN_VOCS_SOLVENT_AND_TREATMENT,VOCs溶剂使用、无组织排放与废气治理,MONTHLY,S10,S06;S02;S07,VOCs无组织逸散；废气治理设施低效；废活性炭更换证据缺失,现场核查发现【VOCs溶剂使用、无组织排放与废气治理】存在风险：VOCs无组织逸散；废气治理设施低效；废活性炭更换证据缺失,请依据环评、批复、许可、台账和现场事实补齐证据链：原辅料MSDS；采购或领用台账；废气治理设施运行记录；活性炭更换记录；废气监测报告；危废台账,S10 废水、废气、噪声、废渣排放及处置情况;S06 环保治理设施运行情况;S02 环保台账规范情况;S07 固体废物贮存规范情况,原辅料MSDS；采购或领用台账；废气治理设施运行记录；活性炭更换记录；废气监测报告；危废台账,含VOCs物料包装标签和MSDS关键页；调配/转移/使用点位密闭状态；集气罩或密闭间；治理设施全景和铭牌；废活性炭/废过滤棉暂存状态,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_HAZWASTE_STORAGE_TRANSFER::FIRST,SCN_HAZWASTE_STORAGE_TRANSFER,危险废物识别、暂存与转移,FIRST,S07,S02;S09;S13,危废识别不全；暂存间不规范；联单/台账缺失,现场核查发现【危险废物识别、暂存与转移】存在风险：危废识别不全；暂存间不规范；联单/台账缺失,请依据环评、批复、许可、台账和现场事实补齐证据链：危废合同；转移联单；危废台账；暂存间标识；MSDS；环评或许可危废章节,S07 固体废物贮存规范情况;S02 环保台账规范情况;S09 标识、标牌、制度公示情况;S13 环保应急管理情况,危废合同；转移联单；危废台账；暂存间标识；MSDS；环评或许可危废章节,危废暂存间门口标识；分区、通道、防渗地面和围挡；危废标签和容器状态；吸附堵漏物资；转移联单编号和台账最近记录,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_HAZWASTE_STORAGE_TRANSFER::MONTHLY,SCN_HAZWASTE_STORAGE_TRANSFER,危险废物识别、暂存与转移,MONTHLY,S07,S02;S09;S13,危废识别不全；暂存间不规范；联单/台账缺失,现场核查发现【危险废物识别、暂存与转移】存在风险：危废识别不全；暂存间不规范；联单/台账缺失,请依据环评、批复、许可、台账和现场事实补齐证据链：危废合同；转移联单；危废台账；暂存间标识；MSDS；环评或许可危废章节,S07 固体废物贮存规范情况;S02 环保台账规范情况;S09 标识、标牌、制度公示情况;S13 环保应急管理情况,危废合同；转移联单；危废台账；暂存间标识；MSDS；环评或许可危废章节,危废暂存间门口标识；分区、通道、防渗地面和围挡；危废标签和容器状态；吸附堵漏物资；转移联单编号和台账最近记录,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_MEDICAL_WASTE_RADIATION::FIRST,SCN_MEDICAL_WASTE_RADIATION,医疗废物、医疗废水与放射诊疗确认,FIRST,S07,S12;S06;S02;S10,医废混入生活垃圾；医疗废水/放射诊疗边界不清；暂存和转运证据缺失,现场核查发现【医疗废物、医疗废水与放射诊疗确认】存在风险：医废混入生活垃圾；医疗废水/放射诊疗边界不清；暂存和转运证据缺失,请依据环评、批复、许可、台账和现场事实补齐证据链：医疗机构执业许可证；床位证明；医废合同和转移联单；放射诊疗许可证或设备清单；污水站运行台账,S07 固体废物贮存规范情况;S12 辐射安全管理;S06 环保治理设施运行情况;S02 环保台账规范情况;S10 废水、废气、噪声、废渣排放及处置情况,医疗机构执业许可证；床位证明；医废合同和转移联单；放射诊疗许可证或设备清单；污水站运行台账,医疗机构证照关键页；医废暂存间门口和内部分类包装；医废交接/消毒记录；放射诊疗设备和警示标识；医院污水站和消毒设施,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_MEDICAL_WASTE_RADIATION::MONTHLY,SCN_MEDICAL_WASTE_RADIATION,医疗废物、医疗废水与放射诊疗确认,MONTHLY,S07,S12;S06;S02;S10,医废混入生活垃圾；医疗废水/放射诊疗边界不清；暂存和转运证据缺失,现场核查发现【医疗废物、医疗废水与放射诊疗确认】存在风险：医废混入生活垃圾；医疗废水/放射诊疗边界不清；暂存和转运证据缺失,请依据环评、批复、许可、台账和现场事实补齐证据链：医疗机构执业许可证；床位证明；医废合同和转移联单；放射诊疗许可证或设备清单；污水站运行台账,S07 固体废物贮存规范情况;S12 辐射安全管理;S06 环保治理设施运行情况;S02 环保台账规范情况;S10 废水、废气、噪声、废渣排放及处置情况,医疗机构执业许可证；床位证明；医废合同和转移联单；放射诊疗许可证或设备清单；污水站运行台账,医疗机构证照关键页；医废暂存间门口和内部分类包装；医废交接/消毒记录；放射诊疗设备和警示标识；医院污水站和消毒设施,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_CHEMICAL_TANK_LDAR_SEEPAGE::FIRST,SCN_CHEMICAL_TANK_LDAR_SEEPAGE,液态化学品储罐、LDAR与防渗风险,FIRST,S04,S10;S13;S02;S06,储罐围堰/防渗不足；LDAR缺失；泄漏与土壤地下水风险,现场核查发现【液态化学品储罐、LDAR与防渗风险】存在风险：储罐围堰/防渗不足；LDAR缺失；泄漏与土壤地下水风险,请依据环评、批复、许可、台账和现场事实补齐证据链：储罐清单；平面布置图；LDAR检测记录；防渗验收或照片；围堰/事故池资料；应急预案和物资清单,S04 内部现场环境情况;S10 废水、废气、噪声、废渣排放及处置情况;S13 环保应急管理情况;S02 环保台账规范情况;S06 环保治理设施运行情况,储罐清单；平面布置图；LDAR检测记录；防渗验收或照片；围堰/事故池资料；应急预案和物资清单,罐区全景和物料标识；围堰、防渗地面和雨水切换阀；泵阀法兰密封点；装卸区截流/收集设施；LDAR记录或检测设备读数,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_CHEMICAL_TANK_LDAR_SEEPAGE::MONTHLY,SCN_CHEMICAL_TANK_LDAR_SEEPAGE,液态化学品储罐、LDAR与防渗风险,MONTHLY,S04,S10;S13;S02;S06,储罐围堰/防渗不足；LDAR缺失；泄漏与土壤地下水风险,现场核查发现【液态化学品储罐、LDAR与防渗风险】存在风险：储罐围堰/防渗不足；LDAR缺失；泄漏与土壤地下水风险,请依据环评、批复、许可、台账和现场事实补齐证据链：储罐清单；平面布置图；LDAR检测记录；防渗验收或照片；围堰/事故池资料；应急预案和物资清单,S04 内部现场环境情况;S10 废水、废气、噪声、废渣排放及处置情况;S13 环保应急管理情况;S02 环保台账规范情况;S06 环保治理设施运行情况,储罐清单；平面布置图；LDAR检测记录；防渗验收或照片；围堰/事故池资料；应急预案和物资清单,罐区全景和物料标识；围堰、防渗地面和雨水切换阀；泵阀法兰密封点；装卸区截流/收集设施；LDAR记录或检测设备读数,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_GAS_STATION_VAPOR_UST::FIRST,SCN_GAS_STATION_VAPOR_UST,加油站油气回收、地下储罐与土壤地下水风险,FIRST,S06,S04;S10;S02,油气回收异常；地下储罐防渗监测缺失；卸油区应急措施不足,现场核查发现【加油站油气回收、地下储罐与土壤地下水风险】存在风险：油气回收异常；地下储罐防渗监测缺失；卸油区应急措施不足,请依据环评、批复、许可、台账和现场事实补齐证据链：油气回收检测报告；地下储罐资料；防渗/泄漏检测记录；排污登记或许可材料,S06 环保治理设施运行情况;S04 内部现场环境情况;S10 废水、废气、噪声、废渣排放及处置情况;S02 环保台账规范情况,油气回收检测报告；地下储罐资料；防渗/泄漏检测记录；排污登记或许可材料,卸油口和油气回收接口；加油枪和油气回收管路；地下储罐人孔井/检测井；防渗或泄漏监测装置；油气回收检测报告关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_GAS_STATION_VAPOR_UST::MONTHLY,SCN_GAS_STATION_VAPOR_UST,加油站油气回收、地下储罐与土壤地下水风险,MONTHLY,S06,S04;S10;S02,油气回收异常；地下储罐防渗监测缺失；卸油区应急措施不足,现场核查发现【加油站油气回收、地下储罐与土壤地下水风险】存在风险：油气回收异常；地下储罐防渗监测缺失；卸油区应急措施不足,请依据环评、批复、许可、台账和现场事实补齐证据链：油气回收检测报告；地下储罐资料；防渗/泄漏检测记录；排污登记或许可材料,S06 环保治理设施运行情况;S04 内部现场环境情况;S10 废水、废气、噪声、废渣排放及处置情况;S02 环保台账规范情况,油气回收检测报告；地下储罐资料；防渗/泄漏检测记录；排污登记或许可材料,卸油口和油气回收接口；加油枪和油气回收管路；地下储罐人孔井/检测井；防渗或泄漏监测装置；油气回收检测报告关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_DUST_PARTICULATE_CONTROL::FIRST,SCN_DUST_PARTICULATE_CONTROL,粉尘颗粒物产生与除尘设施,FIRST,S10,S06;S04;S03,粉尘无组织排放；除尘设施失效；料场/装卸扬尘,现场核查发现【粉尘颗粒物产生与除尘设施】存在风险：粉尘无组织排放；除尘设施失效；料场/装卸扬尘,请依据环评、批复、许可、台账和现场事实补齐证据链：工艺流程图；除尘设施运行台账；颗粒物监测报告；在线监测联网证明,S10 废水、废气、噪声、废渣排放及处置情况;S06 环保治理设施运行情况;S04 内部现场环境情况;S03 环保相关系统完成情况,工艺流程图；除尘设施运行台账；颗粒物监测报告；在线监测联网证明,破碎/粉磨/筛分点位；输送转运和落料点；袋式除尘器全景和铭牌；堆场围挡/喷淋/苫盖；在线监测设备或颗粒物排口,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_DUST_PARTICULATE_CONTROL::MONTHLY,SCN_DUST_PARTICULATE_CONTROL,粉尘颗粒物产生与除尘设施,MONTHLY,S10,S06;S04;S03,粉尘无组织排放；除尘设施失效；料场/装卸扬尘,现场核查发现【粉尘颗粒物产生与除尘设施】存在风险：粉尘无组织排放；除尘设施失效；料场/装卸扬尘,请依据环评、批复、许可、台账和现场事实补齐证据链：工艺流程图；除尘设施运行台账；颗粒物监测报告；在线监测联网证明,S10 废水、废气、噪声、废渣排放及处置情况;S06 环保治理设施运行情况;S04 内部现场环境情况;S03 环保相关系统完成情况,工艺流程图；除尘设施运行台账；颗粒物监测报告；在线监测联网证明,破碎/粉磨/筛分点位；输送转运和落料点；袋式除尘器全景和铭牌；堆场围挡/喷淋/苫盖；在线监测设备或颗粒物排口,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_ONLINE_MONITORING_KEY_UNIT::FIRST,SCN_ONLINE_MONITORING_KEY_UNIT,重点管理/重点排污单位在线监测,FIRST,S03,S02;S10,在线监测未联网；运维记录缺失；数据异常未闭环,现场核查发现【重点管理/重点排污单位在线监测】存在风险：在线监测未联网；运维记录缺失；数据异常未闭环,请依据环评、批复、许可、台账和现场事实补齐证据链：重点排污单位名录截图；在线设备清单；联网证明；运维记录；比对监测报告,S03 环保相关系统完成情况;S02 环保台账规范情况;S10 废水、废气、噪声、废渣排放及处置情况,重点排污单位名录截图；在线设备清单；联网证明；运维记录；比对监测报告,在线站房外观；分析仪和采样管线；数采仪联网状态；视频监控设备；运维/校准/比对记录关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_ONLINE_MONITORING_KEY_UNIT::MONTHLY,SCN_ONLINE_MONITORING_KEY_UNIT,重点管理/重点排污单位在线监测,MONTHLY,S03,S02;S10,在线监测未联网；运维记录缺失；数据异常未闭环,现场核查发现【重点管理/重点排污单位在线监测】存在风险：在线监测未联网；运维记录缺失；数据异常未闭环,请依据环评、批复、许可、台账和现场事实补齐证据链：重点排污单位名录截图；在线设备清单；联网证明；运维记录；比对监测报告,S03 环保相关系统完成情况;S02 环保台账规范情况;S10 废水、废气、噪声、废渣排放及处置情况,重点排污单位名录截图；在线设备清单；联网证明；运维记录；比对监测报告,在线站房外观；分析仪和采样管线；数采仪联网状态；视频监控设备；运维/校准/比对记录关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
