chain_id,scenario_id,scenario_name,inspection_type,primary_score_item_id,secondary_score_item_ids,risk_or_hidden_danger_point,problem_statement_template,rectification_template,report_section_hint,evidence_chain,photo_points,answer_policy,default_severity,default_deduct_policy,deduct_runtime_binding,runtime_status,final_state,runtime_integration,approval_status,approval_source,approved_baseline_version
CHAIN::SCN_RAINWATER_ACCIDENT_EMERGENCY::FIRST,SCN_RAINWATER_ACCIDENT_EMERGENCY,雨污分流、事故水与环境应急,FIRST,S13,S10;S06;S04;S02,雨污混接；事故水收集不足；应急物资/演练缺失,现场核查发现【雨污分流、事故水与环境应急】存在风险：雨污混接；事故水收集不足；应急物资/演练缺失,请依据环评、批复、许可、台账和现场事实补齐证据链：厂区雨污管网图；雨水口/污水口照片；事故池或围堰资料；应急物资清单；突发环境事件应急预案,S13 环保应急管理情况;S10 废水、废气、噪声、废渣排放及处置情况;S06 环保治理设施运行情况;S04 内部现场环境情况;S02 环保台账规范情况,厂区雨污管网图；雨水口/污水口照片；事故池或围堰资料；应急物资清单；突发环境事件应急预案,雨水口和污水口标识；雨污切换阀/事故阀阀位；事故池或应急收集设施；应急物资柜内外观；应急预案/演练/事故记录关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_RAINWATER_ACCIDENT_EMERGENCY::MONTHLY,SCN_RAINWATER_ACCIDENT_EMERGENCY,雨污分流、事故水与环境应急,MONTHLY,S13,S10;S06;S04;S02,雨污混接；事故水收集不足；应急物资/演练缺失,现场核查发现【雨污分流、事故水与环境应急】存在风险：雨污混接；事故水收集不足；应急物资/演练缺失,请依据环评、批复、许可、台账和现场事实补齐证据链：厂区雨污管网图；雨水口/污水口照片；事故池或围堰资料；应急物资清单；突发环境事件应急预案,S13 环保应急管理情况;S10 废水、废气、噪声、废渣排放及处置情况;S06 环保治理设施运行情况;S04 内部现场环境情况;S02 环保台账规范情况,厂区雨污管网图；雨水口/污水口照片；事故池或围堰资料；应急物资清单；突发环境事件应急预案,雨水口和污水口标识；雨污切换阀/事故阀阀位；事故池或应急收集设施；应急物资柜内外观；应急预案/演练/事故记录关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_TRAINING_SIGNAGE_REVIEW_GAP::FIRST,SCN_TRAINING_SIGNAGE_REVIEW_GAP,环保培训、标识公示与历史问题闭环补强,FIRST,S08,S09;S11;S13,培训缺失；标识公示不足；整改闭环证据不足,现场核查发现【环保培训、标识公示与历史问题闭环补强】存在风险：培训缺失；标识公示不足；整改闭环证据不足,请依据环评、批复、许可、台账和现场事实补齐证据链：培训计划、签到、照片、试卷；标识标牌照片；整改前后对比；复查记录,S08 环保培训情况;S09 标识、标牌、制度公示情况;S11 历史遗留问题整改情况;S13 环保应急管理情况,培训计划、签到、照片、试卷；标识标牌照片；整改前后对比；复查记录,培训签到和现场照片；危废/排口/辐射/应急制度标牌；整改前后对比照片；复发防控措施现场照片,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_TRAINING_SIGNAGE_REVIEW_GAP::MONTHLY,SCN_TRAINING_SIGNAGE_REVIEW_GAP,环保培训、标识公示与历史问题闭环补强,MONTHLY,S08,S09;S11;S13,培训缺失；标识公示不足；整改闭环证据不足,现场核查发现【环保培训、标识公示与历史问题闭环补强】存在风险：培训缺失；标识公示不足；整改闭环证据不足,请依据环评、批复、许可、台账和现场事实补齐证据链：培训计划、签到、照片、试卷；标识标牌照片；整改前后对比；复查记录,S08 环保培训情况;S09 标识、标牌、制度公示情况;S11 历史遗留问题整改情况;S13 环保应急管理情况,培训计划、签到、照片、试卷；标识标牌照片；整改前后对比；复查记录,培训签到和现场照片；危废/排口/辐射/应急制度标牌；整改前后对比照片；复发防控措施现场照片,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_NOISE_SOURCE_BOUNDARY_CONTROL::FIRST,SCN_NOISE_SOURCE_BOUNDARY_CONTROL,工业企业噪声源与厂界噪声控制,FIRST,S10,S04;S02;S06,主要噪声源设备有哪些，是否与环评/许可一致？；是否有隔声、减振、消声、距离衰减或厂房封闭措施？,现场核查发现【工业企业噪声源与厂界噪声控制】存在风险：主要噪声源设备有哪些，是否与环评/许可一致？；是否有隔声、减振、消声、距离衰减或厂房封闭措施？,请依据环评、批复、许可、台账和现场事实补齐证据链：环评噪声章节或排污许可工业噪声要求；主要噪声源设备清单和厂区平面布置图；厂界噪声监测报告或自行监测记录；隔声减振消声设施运行/维护记录；投诉、整改或夜间生产证明材料,S10;S04;S02;S06,环评噪声章节或排污许可工业噪声要求；主要噪声源设备清单和厂区平面布置图；厂界噪声监测报告或自行监测记录；隔声减振消声设施运行/维护记录；投诉、整改或夜间生产证明材料,主要高噪声设备及铭牌；隔声罩、减振基础、消声器或厂房封闭措施；厂界监测点位和周边敏感点方向；夜间生产或异常噪声源现场；噪声监测报告关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_NOISE_SOURCE_BOUNDARY_CONTROL::MONTHLY,SCN_NOISE_SOURCE_BOUNDARY_CONTROL,工业企业噪声源与厂界噪声控制,MONTHLY,S10,S04;S02;S06,主要噪声源设备有哪些，是否与环评/许可一致？；是否有隔声、减振、消声、距离衰减或厂房封闭措施？,现场核查发现【工业企业噪声源与厂界噪声控制】存在风险：主要噪声源设备有哪些，是否与环评/许可一致？；是否有隔声、减振、消声、距离衰减或厂房封闭措施？,请依据环评、批复、许可、台账和现场事实补齐证据链：环评噪声章节或排污许可工业噪声要求；主要噪声源设备清单和厂区平面布置图；厂界噪声监测报告或自行监测记录；隔声减振消声设施运行/维护记录；投诉、整改或夜间生产证明材料,S10;S04;S02;S06,环评噪声章节或排污许可工业噪声要求；主要噪声源设备清单和厂区平面布置图；厂界噪声监测报告或自行监测记录；隔声减振消声设施运行/维护记录；投诉、整改或夜间生产证明材料,主要高噪声设备及铭牌；隔声罩、减振基础、消声器或厂房封闭措施；厂界监测点位和周边敏感点方向；夜间生产或异常噪声源现场；噪声监测报告关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_NOISE_BOUNDARY_MONITORING_LEDGER::FIRST,SCN_NOISE_BOUNDARY_MONITORING_LEDGER,厂界噪声监测、执行标准与台账,FIRST,S10,S02;S01,厂界噪声执行标准、功能区类别和昼夜限值如何确定？；自行监测方案、点位图、频次和监测报告是否完整？,现场核查发现【厂界噪声监测、执行标准与台账】存在风险：厂界噪声执行标准、功能区类别和昼夜限值如何确定？；自行监测方案、点位图、频次和监测报告是否完整？,请依据环评、批复、许可、台账和现场事实补齐证据链：自行监测方案；厂界噪声监测报告；监测点位图；执行标准和功能区类别说明；超标整改或异常说明,S10;S02;S01,自行监测方案；厂界噪声监测报告；监测点位图；执行标准和功能区类别说明；超标整改或异常说明,厂界监测点位；厂界四至和敏感方向；监测报告关键页；监测点位示意图；噪声治理设施运行记录关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_NOISE_BOUNDARY_MONITORING_LEDGER::MONTHLY,SCN_NOISE_BOUNDARY_MONITORING_LEDGER,厂界噪声监测、执行标准与台账,MONTHLY,S10,S02;S01,厂界噪声执行标准、功能区类别和昼夜限值如何确定？；自行监测方案、点位图、频次和监测报告是否完整？,现场核查发现【厂界噪声监测、执行标准与台账】存在风险：厂界噪声执行标准、功能区类别和昼夜限值如何确定？；自行监测方案、点位图、频次和监测报告是否完整？,请依据环评、批复、许可、台账和现场事实补齐证据链：自行监测方案；厂界噪声监测报告；监测点位图；执行标准和功能区类别说明；超标整改或异常说明,S10;S02;S01,自行监测方案；厂界噪声监测报告；监测点位图；执行标准和功能区类别说明；超标整改或异常说明,厂界监测点位；厂界四至和敏感方向；监测报告关键页；监测点位示意图；噪声治理设施运行记录关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_NOISE_SENSITIVE_RECEPTOR_NIGHT_OPERATION::FIRST,SCN_NOISE_SENSITIVE_RECEPTOR_NIGHT_OPERATION,夜间生产、敏感点与噪声投诉风险,FIRST,S10,S04;S11;S13,企业是否夜间生产或连续运行？；最近敏感点距离、方向和功能是什么？,现场核查发现【夜间生产、敏感点与噪声投诉风险】存在风险：企业是否夜间生产或连续运行？；最近敏感点距离、方向和功能是什么？,请依据环评、批复、许可、台账和现场事实补齐证据链：生产班次或夜间运行记录；敏感点位置图或环评敏感目标章节；投诉/整改记录；夜间厂界噪声监测报告；隔声屏障、封闭厂房或限时运行措施证明,S10;S04;S11;S13,生产班次或夜间运行记录；敏感点位置图或环评敏感目标章节；投诉/整改记录；夜间厂界噪声监测报告；隔声屏障、封闭厂房或限时运行措施证明,厂界到敏感点方向；夜间运行设备或连续运行设施；隔声屏障、封闭厂房或门窗隔声措施；投诉整改记录关键页；平面图中敏感方向标注,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_NOISE_SENSITIVE_RECEPTOR_NIGHT_OPERATION::MONTHLY,SCN_NOISE_SENSITIVE_RECEPTOR_NIGHT_OPERATION,夜间生产、敏感点与噪声投诉风险,MONTHLY,S10,S04;S11;S13,企业是否夜间生产或连续运行？；最近敏感点距离、方向和功能是什么？,现场核查发现【夜间生产、敏感点与噪声投诉风险】存在风险：企业是否夜间生产或连续运行？；最近敏感点距离、方向和功能是什么？,请依据环评、批复、许可、台账和现场事实补齐证据链：生产班次或夜间运行记录；敏感点位置图或环评敏感目标章节；投诉/整改记录；夜间厂界噪声监测报告；隔声屏障、封闭厂房或限时运行措施证明,S10;S04;S11;S13,生产班次或夜间运行记录；敏感点位置图或环评敏感目标章节；投诉/整改记录；夜间厂界噪声监测报告；隔声屏障、封闭厂房或限时运行措施证明,厂界到敏感点方向；夜间运行设备或连续运行设施；隔声屏障、封闭厂房或门窗隔声措施；投诉整改记录关键页；平面图中敏感方向标注,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_SOCIAL_LIFE_NOISE_SOURCE::FIRST,SCN_SOCIAL_LIFE_NOISE_SOURCE,社会生活噪声与经营活动噪声源,FIRST,S10,S04;S11,是否存在扩声、装卸、空调外机、冷却塔或夜间经营活动？；周边最近敏感点距离和方向是什么？,现场核查发现【社会生活噪声与经营活动噪声源】存在风险：是否存在扩声、装卸、空调外机、冷却塔或夜间经营活动？；周边最近敏感点距离和方向是什么？,请依据环评、批复、许可、台账和现场事实补齐证据链：经营场所平面布置和设备清单；噪声投诉或整改记录；社会生活噪声监测记录；降噪设施和运行时段证明,S10;S04;S11,经营场所平面布置和设备清单；噪声投诉或整改记录；社会生活噪声监测记录；降噪设施和运行时段证明,扩声设备、外机、冷却塔或装卸区；降噪屏障、隔声门窗或消声设施；场界与周边敏感点方向；投诉整改台账关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_SOCIAL_LIFE_NOISE_SOURCE::MONTHLY,SCN_SOCIAL_LIFE_NOISE_SOURCE,社会生活噪声与经营活动噪声源,MONTHLY,S10,S04;S11,是否存在扩声、装卸、空调外机、冷却塔或夜间经营活动？；周边最近敏感点距离和方向是什么？,现场核查发现【社会生活噪声与经营活动噪声源】存在风险：是否存在扩声、装卸、空调外机、冷却塔或夜间经营活动？；周边最近敏感点距离和方向是什么？,请依据环评、批复、许可、台账和现场事实补齐证据链：经营场所平面布置和设备清单；噪声投诉或整改记录；社会生活噪声监测记录；降噪设施和运行时段证明,S10;S04;S11,经营场所平面布置和设备清单；噪声投诉或整改记录；社会生活噪声监测记录；降噪设施和运行时段证明,扩声设备、外机、冷却塔或装卸区；降噪屏障、隔声门窗或消声设施；场界与周边敏感点方向；投诉整改台账关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_RADIATION_DEVICE_SOURCE_SAFETY::FIRST,SCN_RADIATION_DEVICE_SOURCE_SAFETY,射线装置与核技术利用辐射安全,FIRST,S12,S01;S02;S09;S13,是否持有辐射安全许可证或放射诊疗许可，许可范围与设备清单是否一致？；射线装置类别、数量、安装位置和使用状态是什么？,现场核查发现【射线装置与核技术利用辐射安全】存在风险：是否持有辐射安全许可证或放射诊疗许可，许可范围与设备清单是否一致？；射线装置类别、数量、安装位置和使用状态是什么？,请依据环评、批复、许可、台账和现场事实补齐证据链：辐射安全许可证或放射诊疗许可证；射线装置/核技术利用设备台账；年度评估、防护检测或验收监测报告；人员培训、个人剂量、职业健康记录；机房屏蔽、防护门、警示标识和控制区划分资料,S12;S01;S02;S09;S13,辐射安全许可证或放射诊疗许可证；射线装置/核技术利用设备台账；年度评估、防护检测或验收监测报告；人员培训、个人剂量、职业健康记录；机房屏蔽、防护门、警示标识和控制区划分资料,射线装置或机房入口警示标识；设备铭牌和控制台；防护门、联锁、警示灯和控制区/监督区标识；个人剂量计、培训或检测报告关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_RADIATION_DEVICE_SOURCE_SAFETY::MONTHLY,SCN_RADIATION_DEVICE_SOURCE_SAFETY,射线装置与核技术利用辐射安全,MONTHLY,S12,S01;S02;S09;S13,是否持有辐射安全许可证或放射诊疗许可，许可范围与设备清单是否一致？；射线装置类别、数量、安装位置和使用状态是什么？,现场核查发现【射线装置与核技术利用辐射安全】存在风险：是否持有辐射安全许可证或放射诊疗许可，许可范围与设备清单是否一致？；射线装置类别、数量、安装位置和使用状态是什么？,请依据环评、批复、许可、台账和现场事实补齐证据链：辐射安全许可证或放射诊疗许可证；射线装置/核技术利用设备台账；年度评估、防护检测或验收监测报告；人员培训、个人剂量、职业健康记录；机房屏蔽、防护门、警示标识和控制区划分资料,S12;S01;S02;S09;S13,辐射安全许可证或放射诊疗许可证；射线装置/核技术利用设备台账；年度评估、防护检测或验收监测报告；人员培训、个人剂量、职业健康记录；机房屏蔽、防护门、警示标识和控制区划分资料,射线装置或机房入口警示标识；设备铭牌和控制台；防护门、联锁、警示灯和控制区/监督区标识；个人剂量计、培训或检测报告关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_RAD_WASTE_PACKAGE_SOLIDIFICATION_CONTAINER::FIRST,SCN_RAD_WASTE_PACKAGE_SOLIDIFICATION_CONTAINER,放射性废物包、固化体与高完整性容器,FIRST,S12,S07;S02,废物包编号、核素、活度、形态、包装日期和去向是否闭环？；固化体性能检测、容器合格证明和包装记录是否齐全？,现场核查发现【放射性废物包、固化体与高完整性容器】存在风险：废物包编号、核素、活度、形态、包装日期和去向是否闭环？；固化体性能检测、容器合格证明和包装记录是否齐全？,请依据环评、批复、许可、台账和现场事实补齐证据链：废物包编号和包装记录；固化体性能检测/鉴定资料；容器合格证明；核素/活度记录；交接单和暂存分区台账,S12;S07;S02,废物包编号和包装记录；固化体性能检测/鉴定资料；容器合格证明；核素/活度记录；交接单和暂存分区台账,废物包外观与标签；容器铭牌或合格证关键页；包装作业记录关键页；检测报告关键页；暂存分区标识,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_RAD_WASTE_PACKAGE_SOLIDIFICATION_CONTAINER::MONTHLY,SCN_RAD_WASTE_PACKAGE_SOLIDIFICATION_CONTAINER,放射性废物包、固化体与高完整性容器,MONTHLY,S12,S07;S02,废物包编号、核素、活度、形态、包装日期和去向是否闭环？；固化体性能检测、容器合格证明和包装记录是否齐全？,现场核查发现【放射性废物包、固化体与高完整性容器】存在风险：废物包编号、核素、活度、形态、包装日期和去向是否闭环？；固化体性能检测、容器合格证明和包装记录是否齐全？,请依据环评、批复、许可、台账和现场事实补齐证据链：废物包编号和包装记录；固化体性能检测/鉴定资料；容器合格证明；核素/活度记录；交接单和暂存分区台账,S12;S07;S02,废物包编号和包装记录；固化体性能检测/鉴定资料；容器合格证明；核素/活度记录；交接单和暂存分区台账,废物包外观与标签；容器铭牌或合格证关键页；包装作业记录关键页；检测报告关键页；暂存分区标识,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_RAD_WASTE_DISPOSAL_FACILITY::FIRST,SCN_RAD_WASTE_DISPOSAL_FACILITY,放射性废物处置设施与场址管理,FIRST,S12,S13;S02;S04,处置设施许可、选址、设计、建造和运行文件是否齐全？；接收、暂存、处置、环境监测和封场记录是否闭环？,现场核查发现【放射性废物处置设施与场址管理】存在风险：处置设施许可、选址、设计、建造和运行文件是否齐全？；接收、暂存、处置、环境监测和封场记录是否闭环？,请依据环评、批复、许可、台账和现场事实补齐证据链：处置许可证；选址/设计/建造文件；环境影响报告书；接收和处置台账；监测井/环境监测记录；封场或运行记录,S12;S13;S02;S04,处置许可证；选址/设计/建造文件；环境影响报告书；接收和处置台账；监测井/环境监测记录；封场或运行记录,处置设施边界标识；接收或暂存区；监测井或监测点；排水/渗漏控制设施；运行台账关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_RAD_WASTE_DISPOSAL_FACILITY::MONTHLY,SCN_RAD_WASTE_DISPOSAL_FACILITY,放射性废物处置设施与场址管理,MONTHLY,S12,S13;S02;S04,处置设施许可、选址、设计、建造和运行文件是否齐全？；接收、暂存、处置、环境监测和封场记录是否闭环？,现场核查发现【放射性废物处置设施与场址管理】存在风险：处置设施许可、选址、设计、建造和运行文件是否齐全？；接收、暂存、处置、环境监测和封场记录是否闭环？,请依据环评、批复、许可、台账和现场事实补齐证据链：处置许可证；选址/设计/建造文件；环境影响报告书；接收和处置台账；监测井/环境监测记录；封场或运行记录,S12;S13;S02;S04,处置许可证；选址/设计/建造文件；环境影响报告书；接收和处置台账；监测井/环境监测记录；封场或运行记录,处置设施边界标识；接收或暂存区；监测井或监测点；排水/渗漏控制设施；运行台账关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
CHAIN::SCN_RADIOACTIVE_SOURCE_SECURITY::FIRST,SCN_RADIOACTIVE_SOURCE_SECURITY,放射源安全保卫、台账与退役去向,FIRST,S12,S02;S09;S13,放射源核素、活度、编码、类别和账物是否一致？；源库或暂存柜是否具备防盗、防丢失、防误照射措施？,现场核查发现【放射源安全保卫、台账与退役去向】存在风险：放射源核素、活度、编码、类别和账物是否一致？；源库或暂存柜是否具备防盗、防丢失、防误照射措施？,请依据环评、批复、许可、台账和现场事实补齐证据链：辐射安全许可证及放射源明细；放射源台账、盘点记录和领用归还记录；安防设施、应急预案和演练记录；废放射源送贮/转让/退役证明,S12;S02;S09;S13,辐射安全许可证及放射源明细；放射源台账、盘点记录和领用归还记录；安防设施、应急预案和演练记录；废放射源送贮/转让/退役证明,源库或含源设备警示标识；源库门禁、监控、双人双锁或防盗设施；放射源台账关键页；废旧源送贮或退役证明关键页,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,USE_ECOCHECK_SCORE13_DEDUCT_RULE_POLICY,EcoCheck existing score item / deduct-rule mapping must decide numeric deduct value,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
