show_if_rule_id,scenario_id,scenario_name,inspection_type,template_section,template_subsection,primary_score_item_id,secondary_score_item_ids,show_if_keys,show_if_condition_json,applicable_when,not_applicable_when,confirmation_questions,source_inspection_candidate,source_basis,runtime_status,final_state,runtime_integration,approval_status,approval_source,approved_baseline_version
SHOWIF::SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER::FIRST,SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,通用生产经营、一般固废、噪声与基础台账,FIRST,KNOWLEDGE_CROSS_MEDIA,通用生产经营、一般固废、噪声与基础台账,S01,S02;S06;S07;S10,profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.active;profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.evidence_confirmed,"{""all"":[{""field"":""profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.active"",""operator"":""equals"",""value"":true,""source"":""approved_baseline_scenario_activation""}],""any_evidence"":[{""field"":""profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.evidence_confirmed"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.industry_default_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.process_trigger_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.permit_condition_recalled"",""operator"":""equals"",""value"":true}],""not"":[{""field"":""profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.not_applicable_confirmed"",""operator"":""equals"",""value"":true}]}",存在实际生产、加工、分装、清洗、粉磨、印刷、诊疗或经营活动；现有31条规则均默认存在生产经营活动和一般固废画像,仅办公、仓储、贸易且无实际产污活动；现场确认无一般固废、无主要噪声源时可降级为不适用,是否有实际生产/加工/分装/清洗/粉磨/印刷等活动？；一般固废种类和去向是什么？；是否有主要噪声设备？；是否建立固废/危废/医废台账？,SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER:FIRST,approved scenario template + approved inspection candidate + approved score13 mapping,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
SHOWIF::SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER::MONTHLY,SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,通用生产经营、一般固废、噪声与基础台账,MONTHLY,KNOWLEDGE_CROSS_MEDIA,通用生产经营、一般固废、噪声与基础台账,S01,S02;S06;S07;S10,profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.active;profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.evidence_confirmed,"{""all"":[{""field"":""profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.active"",""operator"":""equals"",""value"":true,""source"":""approved_baseline_scenario_activation""}],""any_evidence"":[{""field"":""profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.evidence_confirmed"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.industry_default_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.process_trigger_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.permit_condition_recalled"",""operator"":""equals"",""value"":true}],""not"":[{""field"":""profile.scenarios.SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER.not_applicable_confirmed"",""operator"":""equals"",""value"":true}]}",存在实际生产、加工、分装、清洗、粉磨、印刷、诊疗或经营活动；现有31条规则均默认存在生产经营活动和一般固废画像,仅办公、仓储、贸易且无实际产污活动；现场确认无一般固废、无主要噪声源时可降级为不适用,是否有实际生产/加工/分装/清洗/粉磨/印刷等活动？；一般固废种类和去向是什么？；是否有主要噪声设备？；是否建立固废/危废/医废台账？,SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER:MONTHLY,approved scenario template + approved inspection candidate + approved score13 mapping,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
SHOWIF::SCN_WW_PROCESS_AND_TREATMENT::FIRST,SCN_WW_PROCESS_AND_TREATMENT,生产/医疗/清洗废水与污水处理设施,FIRST,KNOWLEDGE_WASTEWATER,生产/医疗/清洗废水与污水处理设施,S06,S10;S02;S03;S13,profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.active;profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.evidence_confirmed,"{""all"":[{""field"":""profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.active"",""operator"":""equals"",""value"":true,""source"":""approved_baseline_scenario_activation""}],""any_evidence"":[{""field"":""profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.evidence_confirmed"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.industry_default_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.process_trigger_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.permit_condition_recalled"",""operator"":""equals"",""value"":true}],""not"":[{""field"":""profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.not_applicable_confirmed"",""operator"":""equals"",""value"":true}]}",医疗机构、食品饮料、蔬菜加工、制浆造纸、涂料重点管理、人造革合成革等可能产生废水；重点管理或高水量场景优先确认污水站和在线监测,无湿法工序、无清洗废水、无医疗废水；仅生活污水且接管市政并无预处理管理要求,是否产生生产废水/清洗废水/医疗废水？；是否自建污水处理站或仅预处理后接管？；污水处理工艺是什么？；是否有废水在线监测？,SCN_WW_PROCESS_AND_TREATMENT:FIRST,approved scenario template + approved inspection candidate + approved score13 mapping,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
SHOWIF::SCN_WW_PROCESS_AND_TREATMENT::MONTHLY,SCN_WW_PROCESS_AND_TREATMENT,生产/医疗/清洗废水与污水处理设施,MONTHLY,KNOWLEDGE_WASTEWATER,生产/医疗/清洗废水与污水处理设施,S06,S10;S02;S03;S13,profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.active;profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.evidence_confirmed,"{""all"":[{""field"":""profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.active"",""operator"":""equals"",""value"":true,""source"":""approved_baseline_scenario_activation""}],""any_evidence"":[{""field"":""profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.evidence_confirmed"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.industry_default_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.process_trigger_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.permit_condition_recalled"",""operator"":""equals"",""value"":true}],""not"":[{""field"":""profile.scenarios.SCN_WW_PROCESS_AND_TREATMENT.not_applicable_confirmed"",""operator"":""equals"",""value"":true}]}",医疗机构、食品饮料、蔬菜加工、制浆造纸、涂料重点管理、人造革合成革等可能产生废水；重点管理或高水量场景优先确认污水站和在线监测,无湿法工序、无清洗废水、无医疗废水；仅生活污水且接管市政并无预处理管理要求,是否产生生产废水/清洗废水/医疗废水？；是否自建污水处理站或仅预处理后接管？；污水处理工艺是什么？；是否有废水在线监测？,SCN_WW_PROCESS_AND_TREATMENT:MONTHLY,approved scenario template + approved inspection candidate + approved score13 mapping,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
SHOWIF::SCN_VOCS_SOLVENT_AND_TREATMENT::FIRST,SCN_VOCS_SOLVENT_AND_TREATMENT,VOCs溶剂使用、无组织排放与废气治理,FIRST,KNOWLEDGE_EXHAUST,VOCs溶剂使用、无组织排放与废气治理,S10,S06;S02;S07,profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.active;profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.evidence_confirmed,"{""all"":[{""field"":""profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.active"",""operator"":""equals"",""value"":true,""source"":""approved_baseline_scenario_activation""}],""any_evidence"":[{""field"":""profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.evidence_confirmed"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.industry_default_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.process_trigger_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.permit_condition_recalled"",""operator"":""equals"",""value"":true}],""not"":[{""field"":""profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.not_applicable_confirmed"",""operator"":""equals"",""value"":true}]}",使用油墨、涂料、胶黏剂、清洗剂、溶剂或发泡剂；存在喷涂、涂布、调配、加热、溶剂清洗或有机废气治理设施,全水性低VOCs原辅料且无加热、喷涂、涂布、溶剂清洗；仅登记小规模时不得默认排除，应保留UNKNOWN确认,使用油墨/涂料/胶黏剂/清洗剂类型和年用量？；是否有密闭收集和治理设施？；是否产生废活性炭/废过滤棉/废包装桶？,SCN_VOCS_SOLVENT_AND_TREATMENT:FIRST,approved scenario template + approved inspection candidate + approved score13 mapping,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
SHOWIF::SCN_VOCS_SOLVENT_AND_TREATMENT::MONTHLY,SCN_VOCS_SOLVENT_AND_TREATMENT,VOCs溶剂使用、无组织排放与废气治理,MONTHLY,KNOWLEDGE_EXHAUST,VOCs溶剂使用、无组织排放与废气治理,S10,S06;S02;S07,profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.active;profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.evidence_confirmed,"{""all"":[{""field"":""profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.active"",""operator"":""equals"",""value"":true,""source"":""approved_baseline_scenario_activation""}],""any_evidence"":[{""field"":""profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.evidence_confirmed"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.industry_default_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.process_trigger_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.permit_condition_recalled"",""operator"":""equals"",""value"":true}],""not"":[{""field"":""profile.scenarios.SCN_VOCS_SOLVENT_AND_TREATMENT.not_applicable_confirmed"",""operator"":""equals"",""value"":true}]}",使用油墨、涂料、胶黏剂、清洗剂、溶剂或发泡剂；存在喷涂、涂布、调配、加热、溶剂清洗或有机废气治理设施,全水性低VOCs原辅料且无加热、喷涂、涂布、溶剂清洗；仅登记小规模时不得默认排除，应保留UNKNOWN确认,使用油墨/涂料/胶黏剂/清洗剂类型和年用量？；是否有密闭收集和治理设施？；是否产生废活性炭/废过滤棉/废包装桶？,SCN_VOCS_SOLVENT_AND_TREATMENT:MONTHLY,approved scenario template + approved inspection candidate + approved score13 mapping,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
SHOWIF::SCN_HAZWASTE_STORAGE_TRANSFER::FIRST,SCN_HAZWASTE_STORAGE_TRANSFER,危险废物识别、暂存与转移,FIRST,KNOWLEDGE_SOLID_WASTE_RISK,危险废物识别、暂存与转移,S07,S02;S09;S13,profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.active;profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.evidence_confirmed,"{""all"":[{""field"":""profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.active"",""operator"":""equals"",""value"":true,""source"":""approved_baseline_scenario_activation""}],""any_evidence"":[{""field"":""profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.evidence_confirmed"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.industry_default_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.process_trigger_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.permit_condition_recalled"",""operator"":""equals"",""value"":true}],""not"":[{""field"":""profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.not_applicable_confirmed"",""operator"":""equals"",""value"":true}]}",使用危险化学品、油墨、涂料、溶剂、机油或有废气治理耗材；医疗检验试剂、加油站废机油、废包装桶等场景,无危险特性原辅料、无废气治理耗材、无机修废油且环评/许可明确不产生危废,是否产生废油墨/废溶剂/废活性炭/废包装桶/废机油？；危废代码和去向是什么？；暂存间是否防渗防雨防流失？,SCN_HAZWASTE_STORAGE_TRANSFER:FIRST,approved scenario template + approved inspection candidate + approved score13 mapping,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
SHOWIF::SCN_HAZWASTE_STORAGE_TRANSFER::MONTHLY,SCN_HAZWASTE_STORAGE_TRANSFER,危险废物识别、暂存与转移,MONTHLY,KNOWLEDGE_SOLID_WASTE_RISK,危险废物识别、暂存与转移,S07,S02;S09;S13,profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.active;profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.evidence_confirmed,"{""all"":[{""field"":""profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.active"",""operator"":""equals"",""value"":true,""source"":""approved_baseline_scenario_activation""}],""any_evidence"":[{""field"":""profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.evidence_confirmed"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.industry_default_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.process_trigger_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.permit_condition_recalled"",""operator"":""equals"",""value"":true}],""not"":[{""field"":""profile.scenarios.SCN_HAZWASTE_STORAGE_TRANSFER.not_applicable_confirmed"",""operator"":""equals"",""value"":true}]}",使用危险化学品、油墨、涂料、溶剂、机油或有废气治理耗材；医疗检验试剂、加油站废机油、废包装桶等场景,无危险特性原辅料、无废气治理耗材、无机修废油且环评/许可明确不产生危废,是否产生废油墨/废溶剂/废活性炭/废包装桶/废机油？；危废代码和去向是什么？；暂存间是否防渗防雨防流失？,SCN_HAZWASTE_STORAGE_TRANSFER:MONTHLY,approved scenario template + approved inspection candidate + approved score13 mapping,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
SHOWIF::SCN_MEDICAL_WASTE_RADIATION::FIRST,SCN_MEDICAL_WASTE_RADIATION,医疗废物、医疗废水与放射诊疗确认,FIRST,KNOWLEDGE_MEDICAL_CROSS_MEDIA,医疗废物、医疗废水与放射诊疗确认,S07,S12;S06;S02;S10,profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.active;profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.evidence_confirmed,"{""all"":[{""field"":""profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.active"",""operator"":""equals"",""value"":true,""source"":""approved_baseline_scenario_activation""}],""any_evidence"":[{""field"":""profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.evidence_confirmed"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.industry_default_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.process_trigger_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.permit_condition_recalled"",""operator"":""equals"",""value"":true}],""not"":[{""field"":""profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.not_applicable_confirmed"",""operator"":""equals"",""value"":true}]}",综合医院及其他医疗机构；床位数、检验/病理科、有无放射科影响污水、VOCs、辐射、在线监测,非医疗机构；无诊疗活动的办公或咨询场所；无放射诊疗设备时辐射场景可落NO,床位数是多少？；是否设检验科/病理科并使用有机溶剂？；是否有放射科/核医学科？；医废暂存间如何管理？；污水如何处理？,SCN_MEDICAL_WASTE_RADIATION:FIRST,approved scenario template + approved inspection candidate + approved score13 mapping,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
SHOWIF::SCN_MEDICAL_WASTE_RADIATION::MONTHLY,SCN_MEDICAL_WASTE_RADIATION,医疗废物、医疗废水与放射诊疗确认,MONTHLY,KNOWLEDGE_MEDICAL_CROSS_MEDIA,医疗废物、医疗废水与放射诊疗确认,S07,S12;S06;S02;S10,profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.active;profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.evidence_confirmed,"{""all"":[{""field"":""profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.active"",""operator"":""equals"",""value"":true,""source"":""approved_baseline_scenario_activation""}],""any_evidence"":[{""field"":""profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.evidence_confirmed"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.industry_default_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.process_trigger_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.permit_condition_recalled"",""operator"":""equals"",""value"":true}],""not"":[{""field"":""profile.scenarios.SCN_MEDICAL_WASTE_RADIATION.not_applicable_confirmed"",""operator"":""equals"",""value"":true}]}",综合医院及其他医疗机构；床位数、检验/病理科、有无放射科影响污水、VOCs、辐射、在线监测,非医疗机构；无诊疗活动的办公或咨询场所；无放射诊疗设备时辐射场景可落NO,床位数是多少？；是否设检验科/病理科并使用有机溶剂？；是否有放射科/核医学科？；医废暂存间如何管理？；污水如何处理？,SCN_MEDICAL_WASTE_RADIATION:MONTHLY,approved scenario template + approved inspection candidate + approved score13 mapping,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
SHOWIF::SCN_CHEMICAL_TANK_LDAR_SEEPAGE::FIRST,SCN_CHEMICAL_TANK_LDAR_SEEPAGE,液态化学品储罐、LDAR与防渗风险,FIRST,KNOWLEDGE_RISK_UNIT,液态化学品储罐、LDAR与防渗风险,S04,S10;S13;S02;S06,profile.scenarios.SCN_CHEMICAL_TANK_LDAR_SEEPAGE.active;profile.scenarios.SCN_CHEMICAL_TANK_LDAR_SEEPAGE.evidence_confirmed,"{""all"":[{""field"":""profile.scenarios.SCN_CHEMICAL_TANK_LDAR_SEEPAGE.active"",""operator"":""equals"",""value"":true,""source"":""approved_baseline_scenario_activation""}],""any_evidence"":[{""field"":""profile.scenarios.SCN_CHEMICAL_TANK_LDAR_SEEPAGE.evidence_confirmed"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_CHEMICAL_TANK_LDAR_SEEPAGE.industry_default_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_CHEMICAL_TANK_LDAR_SEEPAGE.process_trigger_recalled"",""operator"":""equals"",""value"":true},{""field"":""profile.scenarios.SCN_CHEMICAL_TANK_LDAR_SEEPAGE.permit_condition_recalled"",""operator"":""equals"",""value"":true}],""not"":[{""field"":""profile.scenarios.SCN_CHEMICAL_TANK_LDAR_SEEPAGE.not_applicable_confirmed"",""operator"":""equals"",""value"":true}]}",涂料制造重点管理、有大型油墨/溶剂储存、液态化学品罐区、挥发性有机液体装卸,无液态化学品储存；仅小包装桶且无固定管线/阀门组件时LDAR不宜默认YES,是否有固定储罐或液态化学品罐区？；储存物料是否为挥发性有机液体？；是否开展LDAR？；围堰/防渗/事故收集是否完善？,SCN_CHEMICAL_TANK_LDAR_SEEPAGE:FIRST,approved scenario template + approved inspection candidate + approved score13 mapping,APPROVED_BASELINE,APPROVED_BASELINE_KNOWLEDGE,approved_baseline_export_ready,HUMAN_APPROVED_BASELINE,USER_ATTESTED_IN_CHAT_2026-05-30,v1.0-approved-baseline-knowledge
