scenario_id,inspection_type,candidate_section_codes,candidate_subchapter_name,item_title,check_points,evidence_policy,photo_points,answer_policy,candidate_severity,candidate_deduct,activation_condition,section_status,runtime_status,candidate_reason
SCN_WW_PROCESS_AND_TREATMENT,FIRST,S09,废水系统,废水源头与污水处理设施基线,核对废水来源、预处理/污水站工艺、排放去向、是否绕排；不重复排污许可证基本信息。,需文件+现场照片；允许NA但必须写明无废水或仅生活污水接管依据。,废水源头点位；污水站全景；关键处理单元；总排口/接管口；运行台账关键页,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,wastewater_generation in YES/UNKNOWN or wastewater_station in YES/UNKNOWN,CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_WW_PROCESS_AND_TREATMENT,MONTHLY,M04/M16,治污设施运行/雨污与事故水,废水设施运行与异常排放抽查,抽查污水站运行、异常记录、临时软管、雨污混接和排口状态。,需现场照片；FAIL时增加异常点和排口照片。,污水站运行状态；药剂/电控柜；异常排放点；雨水口；本月运行记录,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,wastewater_station==YES or wastewater_generation==YES,MAPPED_NOT_CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_VOCS_SOLVENT_AND_TREATMENT,FIRST,S10/S18,废气系统/VOCs物料基线,含VOCs物料储存、调配、转移与治理设施基线,核对油墨、溶剂、胶黏剂、涂料、清洗剂；查看密闭、集气和治理设施；不重复排气筒规范化。,需MSDS/台账+现场照片；允许NA但需证明无含VOCs物料。,物料标签和MSDS；调配/转移点；集气罩或密闭间；治理设施铭牌；废活性炭暂存点,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,vocs_emission in YES/UNKNOWN or unorganized_exhaust in YES/UNKNOWN,KNOWLEDGE_CANDIDATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_VOCS_SOLVENT_AND_TREATMENT,MONTHLY,M12,VOCs与LDAR,VOCs物料当月密闭状态抽查,抽查1-2个正在使用点位，核对开盖、集气覆盖、容器密闭、空桶暂存。,需现场照片；FAIL时拍摄失控点位和影响范围。,正在使用点位；容器密闭状态；集气覆盖；空桶暂存；治理设施运行状态,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,vocs_emission==YES or last_first_scn_vocs_material==PASS,MAPPED_NOT_CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_HAZWASTE_STORAGE_TRANSFER,FIRST,S03,固废与危废类,危废识别、暂存与转移基线,核对危废种类、代码、暂存间、标签、台账、合同和联单；区分台账证据与现场贮存。,需现场照片+台账/联单；NA需说明无危废产生依据。,危废间门口标识；内部分区；防渗地面；容器标签；联单和台账最近记录,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,hazardous_waste in YES/UNKNOWN,CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_HAZWASTE_STORAGE_TRANSFER,MONTHLY,M06,危废管理,危废库存、标签与转移闭环抽查,抽查库存与台账一致、标签完整、转移联单、本月新增危废去向。,需现场照片+记录页；FAIL时拍问题容器、标签或联单缺失。,库存实物；标签近照；台账本月页；转移联单；整改前后对比,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,hazardous_waste==YES,CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_MEDICAL_WASTE_RADIATION,FIRST,S16/RADIATION,医疗废物/辐射,医废暂存、交接消毒与放射诊疗门槛,确认医废分类包装、暂存点、交接登记、消毒记录；确认是否涉及放射诊疗。,需证照+现场照片；无放射设备时辐射门槛可NA。,医废暂存间外观；分类包装；交接登记；消毒记录；放射设备/警示标识,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,medical_waste==YES or radiation in YES/UNKNOWN,CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_MEDICAL_WASTE_RADIATION,MONTHLY,M06/RADIATION,医废与辐射月度抽查,医废交接与辐射安全记录抽查,抽查医废交接、消毒、暂存时限；涉及辐射时抽查剂量、维保、警示和门禁联锁。,需记录页+现场照片；辐射不涉及则NA。,医废暂存点；交接/消毒记录；剂量监测记录；警示标识；门禁/联锁状态,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,medical_waste==YES or radiation==YES,CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_CHEMICAL_TANK_LDAR_SEEPAGE,FIRST,S15/S18,液态化学品储运/VOCs,储罐区、LDAR适用性与防渗事故收集基线,确认储罐、泵阀法兰、装卸区、围堰、防渗、事故收集和LDAR适用性。,需现场照片+清单/检测记录；小包装无固定管线可NA。,罐区全景；物料标识；围堰和阀位；泵阀法兰；装卸截流设施；LDAR记录,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,liquid_chemical_tank_area in YES/UNKNOWN or ldar in YES/UNKNOWN,KNOWLEDGE_CANDIDATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_CHEMICAL_TANK_LDAR_SEEPAGE,MONTHLY,M12/M17,VOCs与LDAR/土壤地下水风险,LDAR泄漏修复与罐区防渗月度抽查,抽查检测超标点、修复复测、围堰阀位、防渗破损、装卸滴漏。,需记录页+现场照片；无检测周期任务可NA但需说明。,超标点记录；修复复测页；围堰阀位；装卸区地面；泄漏/滴漏点,"[""PASS"",""FAIL"",""NA""]",MEDIUM,-8,ldar==YES or liquid_chemical_tank_area==YES,MAPPED_NOT_CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_GAS_STATION_VAPOR_UST,FIRST,S17/S14,油气回收/土壤地下水风险,油气回收、地下储罐与防渗基线,确认油气回收系统、地下储罐、防渗或泄漏检测、洗车废水触发情况。,需检测报告+现场照片；非加油业务NA。,卸油油气回收接口；加油枪回收管路；地下罐检测井；油气回收检测报告；洗车排水点,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,gas_station_vapor_recovery==YES or underground_storage_tank==YES,CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_GAS_STATION_VAPOR_UST,MONTHLY,M17/M12,土壤地下水风险/油气回收,地下储罐泄漏与油气回收状态抽查,抽查人孔井、泄漏检测、油气回收外观、异常气味、洗车排水变化。,需现场照片；异常需拍检测读数或泄漏痕迹。,人孔井；泄漏检测装置；加油枪回收状态；油气回收检测/维保记录；异常点位,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,gas_station_vapor_recovery==YES,MAPPED_NOT_CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_DUST_PARTICULATE_CONTROL,FIRST,S19,粉尘与散装物料基线,粉尘产污点与除尘设施基线,核对破碎、粉磨、筛分、输送、包装、料仓；看封闭、喷淋、收尘、落料点。,需现场照片+运行记录；无粉尘工序NA。,破碎/粉磨点；输送转运点；除尘器铭牌；堆场围挡/喷淋；排口或在线设备,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,dust_particulate==YES,KNOWLEDGE_CANDIDATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_DUST_PARTICULATE_CONTROL,MONTHLY,M18,粉尘与散装物料,扬尘逸散与落料点月度抽查,抽查装卸、输送转运、包装、道路积尘、喷淋/收尘开启状态。,需现场照片；FAIL时拍逸散路径和积尘范围。,落料点；厂内道路积尘；喷淋/收尘开启状态；门窗封闭；清扫记录,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,dust_particulate==YES,KNOWLEDGE_CANDIDATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_ONLINE_MONITORING_KEY_UNIT,FIRST,S02/S24,在线监测与联网基线,在线监测联网、数采仪与视频基线,建立在线设备、因子、联网平台、数采仪、视频监控、运维单位基线。,需设备照片+联网证明+运维合同或记录。,站房外观；分析仪；数采仪联网状态；视频监控；运维/比对记录,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,online_monitoring in YES/UNKNOWN,KNOWLEDGE_CANDIDATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_ONLINE_MONITORING_KEY_UNIT,MONTHLY,M11,在线监测,在线监测现场端与异常标记抽查,抽查联网状态、数采仪时间、视频、异常标记、校准/比对。,需现场照片+记录页；不适用需说明未纳入要求。,分析仪状态；数采仪时间；平台联网状态；视频设备；异常标记/校准记录,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,online_monitoring==YES,MAPPED_NOT_CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_RAINWATER_ACCIDENT_EMERGENCY,FIRST,S04/S15,环境应急与雨污事故水,雨污分流、事故水与应急物资基线,确认雨污管网、雨水口、事故池、围堰、截流阀、应急物资和预案。,需图纸/预案+现场照片；无风险单元可NA。,雨水口/污水口；切换阀阀位；事故池；应急物资柜；预案和演练记录,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,rainwater_accident_risk in YES/UNKNOWN or emergency_response_materials in YES/UNKNOWN,CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_RAINWATER_ACCIDENT_EMERGENCY,MONTHLY,M07/M16,应急准备/雨污与事故水,事故水阀位、应急物资与异常事件抽查,抽查阀位、物资有效期、事故记录、临时排放通道和异常闭环。,需现场照片+记录页；FAIL时拍缺失/过期/错位证据。,阀位近照；物资清单和实物；事故记录；临时排放通道；整改闭环照片,"[""PASS"",""FAIL"",""NA""]",HIGH,-10,emergency_response_materials==YES or rainwater_accident_risk==YES,MAPPED_NOT_CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
SCN_TRAINING_SIGNAGE_REVIEW_GAP,FIRST,S08/S09/S11,治理语义补强,培训、标识公示与历史问题基线,不作为行业产污判断；用于补强S08/S09/S11知识层，核对培训、标识、历史整改。,需照片+记录；无历史问题时整改闭环可NA。,培训签到/照片；排口/危废/辐射/应急标识；制度上墙；整改前后对比,"[""PASS"",""FAIL"",""NA""]",MEDIUM,-5,always_optional_governance_enrichment,CURRENT_TEMPLATE_SECTION,CANDIDATE_ONLY,v0.1 knowledge-base recommendation; review current template sections before runtime use.
