process_id,process_name,aliases,positive_keywords,negative_keywords,source_document_types,linked_scenario_ids,linked_permit_entry_nos,evidence_requirements,photo_points,site_verification_required,confidence,runtime_status,final_state,runtime_integration
spraying_coating,喷涂/涂装/涂布,喷漆;喷粉;涂装;涂布;烘干;调漆;喷涂线,喷涂;喷漆;涂装;涂布;烘干;调漆;喷粉,无喷涂;不设喷漆;外协喷涂;仅外购成品涂装件,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_VOCS_SOLVENT_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER;SCN_RAINWATER_ACCIDENT_EMERGENCY,80;109;110;111;112,环评工艺流程；废气章节；原辅料MSDS；废气治理设施；危废台账,喷涂/调漆工位；烘干室；集气罩；治理设施；废过滤棉/废活性炭暂存点,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
electroplating_acid_pickling,电镀/酸洗/磷化/表面处理,电镀;酸洗;磷化;氧化;钝化;表面处理槽,电镀;酸洗;磷化;氧化;钝化;表面处理;槽液,无电镀;不设酸洗;表面处理外协;无槽体,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_WW_PROCESS_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER;SCN_RAINWATER_ACCIDENT_EMERGENCY;SCN_CHEMICAL_TANK_LDAR_SEEPAGE,80;111;112,环评表面处理章节；槽体设备清单；废水处理工艺；危化品台账；危废代码,电镀/酸洗槽；药剂库；废水收集沟；污水站；危废暂存间,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
fermentation_distillation,发酵/蒸馏/酒类酿造,发酵;糖化;蒸馏;酿造;酒糟;酒精发酵,发酵;糖化;蒸馏;酿造;酒糟;发酵罐,仅勾兑;仅分装;无发酵;外购基酒,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_WW_PROCESS_AND_TREATMENT;SCN_RAINWATER_ACCIDENT_EMERGENCY;SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,21;22;23;109;112,环评生产工艺；发酵/蒸馏设备清单；废水章节；固废/酒糟去向；产能证明,发酵罐；蒸馏设备；清洗点；污水站；酒糟/一般固废暂存点,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
printing_gluing,印刷/粘合/覆膜,印刷;胶印;柔印;粘箱;覆膜;上光,印刷;油墨;胶黏剂;粘合;覆膜;上光;洗版,无印刷;不使用油墨;外协印刷;仅裁切,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_VOCS_SOLVENT_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER;SCN_WW_PROCESS_AND_TREATMENT,38;39;112,环评印刷工艺；油墨/MSDS；废气治理；洗版/清洗废水说明；危废台账,印刷机；油墨/胶黏剂标签；集气罩；废气治理设施；洗版/清洗点,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
boiler_combustion,锅炉/燃烧供热,锅炉;蒸汽发生器;燃气锅炉;燃煤锅炉;生物质锅炉,锅炉;蒸汽;燃气锅炉;燃煤锅炉;生物质锅炉;额定蒸发量,无锅炉;电加热;外供蒸汽;仅办公热水,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_DUST_PARTICULATE_CONTROL;SCN_ONLINE_MONITORING_KEY_UNIT;SCN_RAINWATER_ACCIDENT_EMERGENCY,96;109,锅炉登记证；铭牌；燃料类型；额定蒸发量；废气排口；监测报告,锅炉铭牌；燃料供应点；排气筒；废气治理设施；运行记录,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
wastewater_treatment_station,污水处理站/废水预处理,污水站;废水处理;预处理;生化池;沉淀池;气浮,污水处理站;废水处理;预处理;生化;沉淀;气浮;总排口,无生产废水;生活污水接管;不设污水站,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_WW_PROCESS_AND_TREATMENT;SCN_ONLINE_MONITORING_KEY_UNIT;SCN_RAINWATER_ACCIDENT_EMERGENCY;SCN_HAZWASTE_STORAGE_TRANSFER,112,污水站工艺流程；排水去向；运行台账；污泥去向；排口信息,污水站全景；关键处理单元；总排口；在线监测设备；污泥暂存点,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
medical_wastewater_waste_radiation,医疗废水/医废/放射诊疗,医疗废水;医废;检验科;病理科;放射诊疗;核医学,医疗废水;医废;检验科;病理科;放射诊疗;核医学;床位,无床位;无诊疗;无放射设备;仅咨询,EIA;APPROVAL;PERMIT;LICENSE;SITE,SCN_MEDICAL_WASTE_RADIATION;SCN_WW_PROCESS_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER,107;112,医疗机构执业许可证；床位证明；医废合同；放射诊疗许可证；污水站台账,医废暂存间；污水消毒设施；放射设备警示标识；医废交接记录；床位证明,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
laboratory_waste_liquid,实验室废液/检测试剂,实验室废液;检测试剂;化验室;废试剂;样品前处理,实验室;化验室;检测试剂;废液;样品前处理;实验废物,无实验室;委外检测;不产生实验废液,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_HAZWASTE_STORAGE_TRANSFER;SCN_RAINWATER_ACCIDENT_EMERGENCY;NEW_SCN_LAB_WASTE_CANDIDATE,112,实验室平面图；试剂清单；废液收集桶；危废台账；应急物资,实验室操作台；试剂柜；废液桶标签；危废暂存间；应急吸附物资,true,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
tailings_storage,尾矿库/尾矿输送与回水,尾矿库;尾矿坝;回水池;渗滤液;排洪系统,尾矿库;尾矿坝;尾矿输送;回水池;排洪;渗滤液,无尾矿库;尾矿外运;不设尾矿贮存,EIA;APPROVAL;PERMIT;SAFETY_ASSESSMENT;SITE,SCN_RAINWATER_ACCIDENT_EMERGENCY;SCN_WW_PROCESS_AND_TREATMENT;NEW_SCN_TAILINGS_CANDIDATE,NEED_CONFIRM,尾矿库环评章节；安全评价；库区平面图；回水/渗滤液处理；应急预案,尾矿坝；排洪系统；回水池；渗滤液收集点；在线/巡检记录,true,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
waste_incineration_landfill,垃圾焚烧/填埋,垃圾焚烧;生活垃圾填埋;渗滤液;烟气净化;飞灰,垃圾焚烧;填埋;渗滤液;烟气净化;飞灰;炉渣,无焚烧;无填埋;仅转运,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_DUST_PARTICULATE_CONTROL;SCN_WW_PROCESS_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER;SCN_ONLINE_MONITORING_KEY_UNIT;NEW_SCN_WASTE_DISPOSAL_CANDIDATE,104;105;106;109;112,环评处置工艺；烟气净化；渗滤液处理；飞灰危废去向；在线监测,焚烧炉/填埋作业区；烟气净化设施；渗滤液站；飞灰暂存；在线监测站房,true,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
industrial_noise_source,工业噪声源/厂界噪声,工业噪声;厂界噪声;高噪声设备;隔声减振;噪声监测,噪声源;厂界噪声;空压机;风机;泵;破碎;粉磨;冲压;切割;冷却塔;隔声;减振;消声,无噪声源;仅办公;无生产设备;设备停用;无夜间生产,EIA;APPROVAL;PERMIT;LEDGER;SITE;MONITORING,SCN_NOISE_SOURCE_BOUNDARY_CONTROL,109;110;112,环评噪声章节；工业噪声许可要求；设备清单；厂界噪声监测报告；隔声减振维护记录,高噪声设备及铭牌；隔声减振措施；厂界监测点；周边敏感点方向；监测报告关键页,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
boundary_noise_monitoring,厂界噪声监测/执行标准,厂界噪声监测;自行监测;噪声执行标准;监测点位;昼夜监测,厂界噪声;自行监测;监测点位;昼间;夜间;GB 12348;功能区;监测频次,无监测要求;无需厂界监测;仅现场初筛;社会生活噪声,PERMIT;EIA;MONITORING;LEDGER,SCN_NOISE_BOUNDARY_MONITORING_LEDGER,,自行监测方案；厂界噪声监测报告；监测点位图；执行标准说明；超标整改记录,厂界监测点位；监测点位示意图；监测报告关键页；厂界四至,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
night_operation_sensitive_receptor,夜间生产/敏感点噪声风险,夜间生产;敏感点;噪声投诉;扰民;连续生产,夜间生产;连续生产;居民区;学校;医院;养老机构;投诉;扰民;夜间监测;超标整改,无夜间生产;远离敏感点;无投诉;昼间单班,EIA;SITE;LEDGER;MONITORING;COMPLAINT,SCN_NOISE_SENSITIVE_RECEPTOR_NIGHT_OPERATION,,生产班次记录；敏感点位置图；投诉/整改记录；夜间监测报告；限时运行证明,厂界到敏感点方向；夜间运行设备；隔声屏障；投诉整改记录关键页,true,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
social_life_noise_source,社会生活噪声源,社会生活噪声;商业噪声;餐饮娱乐噪声;扩声设备;空调外机,扩声;音响;空调外机;冷却塔;装卸;夜间经营;投诉;社会生活噪声,无扩声;无外机;无夜间经营;设备拆除;非经营场所,SITE;LEDGER;MONITORING;COMPLAINT,SCN_SOCIAL_LIFE_NOISE_SOURCE,,经营设备清单；噪声投诉或整改记录；监测记录；降噪措施证明,扩声设备/外机/冷却塔；降噪设施；场界与敏感点方向；投诉整改台账,true,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
radiation_device_source,射线装置/核技术利用,射线装置;DR;CT;工业探伤;核技术利用;辐射安全许可,射线装置;DR;CT;牙片机;工业探伤;辐照;核技术利用;辐射安全许可证;放射诊疗,无射线装置;无放射源;全部外协;设备已拆除;许可注销,PERMIT;EIA;APPROVAL;LEDGER;SITE,SCN_RADIATION_DEVICE_SOURCE_SAFETY,,辐射安全许可证；射线装置台账；防护检测报告；人员培训和个人剂量记录,机房入口警示标识；设备铭牌；防护门/联锁/警示灯；个人剂量计或检测报告关键页,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
sealed_radioactive_source,密封放射源/废放射源,放射源;密封源;废放射源;源库;含源仪表,放射源;密封源;废放射源;源库;核素;活度;含源仪表;料位计;测厚仪,无放射源;非含源设备;已送贮;已退役;已转让,PERMIT;LEDGER;SITE;TRANSFER,SCN_RADIOACTIVE_SOURCE_SECURITY;SCN_RADIOACTIVE_WASTE_STORAGE_TRANSFER_DISPOSAL,,辐射安全许可证；放射源台账；盘点记录；安防设施；送贮/退役证明,源库警示标识；门禁监控；放射源台账；送贮或退役证明关键页,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
radioactive_waste_storage,放射性废物贮存/转移/处置,放射性废物;废物库;废物包;固化体;低中水平放射性废物,放射性废物;废物库;废物包;固化体;低中水平;送贮;处置;退役场址,无放射性废物;仅一般危废;仅医废;无源项,PERMIT;LEDGER;SITE;MONITORING;TRANSFER,SCN_RADIOACTIVE_WASTE_STORAGE_TRANSFER_DISPOSAL,,放射性废物台账；废物包/容器资料；废物库运行记录；转移/处置证明；监测记录,废物库警示标识；废物包标签；监测记录；转移/处置证明关键页,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
radioactive_waste_package_container,放射性废物包/固化体/高完整性容器,废物包;固化体;高完整性容器;水泥固化;包装鉴定,废物包;固化体;高完整性容器;水泥固化;球墨铸铁容器;混凝土容器;聚乙烯容器;包装鉴定,普通危废包装;医废周转箱;一般固废打包;无放射性废物包装,PERMIT;LEDGER;SITE;MONITORING;TRANSFER,SCN_RAD_WASTE_PACKAGE_SOLIDIFICATION_CONTAINER,,废物包编号；固化体检测；容器合格证明；核素/活度记录；交接单,废物包标签；容器铭牌；检测报告关键页；暂存分区标识,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
radioactive_waste_disposal_facility,放射性废物处置设施/场址,近地表处置;岩洞处置;废放射源处置;处置设施;处置场址,近地表处置;岩洞处置;废放射源处置;处置设施;处置许可证;监测井;封场,普通填埋场;危废填埋;生活垃圾填埋;无放射性处置,PERMIT;EIA;APPROVAL;LEDGER;SITE;MONITORING,SCN_RAD_WASTE_DISPOSAL_FACILITY,,处置许可证；选址/设计/建造文件；环境影响报告书；接收台账；监测井记录,处置设施边界标识；接收/暂存区；监测井；渗漏控制设施,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
radioactive_material_transport,放射性物品运输,放射性物品运输;运输容器;运输许可;托运;承运,放射性物品运输;运输容器;运输许可;托运;承运;包装等级;栓系;提升装置,不运输放射性物品;普通货物运输;仅危化品;无运输容器,PERMIT;LEDGER;SITE;TRANSPORT,SCN_RADIOACTIVE_MATERIAL_TRANSPORT,,运输许可；运输容器合格证明；托运/承运记录；车辆和人员培训；应急方案,运输容器标识；车辆和栓系装置；运输许可；应急物资,true,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
norm_industrial_residue_radioactivity,含天然放射性工业废渣/建材放射性,NORM;天然放射性;工业废渣放射性;建材放射性;铀钍矿冶,铀;钍;天然放射性;工业废渣;建材放射性;矿冶废物;退役场址;残留放射性,无含天然放射性物料;普通一般固废;无矿冶活动;无废渣利用,EIA;APPROVAL;LEDGER;SITE;MONITORING,SCN_NORM_RADIOACTIVITY_IN_INDUSTRIAL_RESIDUE,,原料/废渣检测报告；废渣利用/外售台账；矿冶废物管理资料；场址监测记录,废渣堆场；检测报告关键页；废渣外售台账；场址监测点位,true,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
uranium_thorium_mining_rad_waste,铀钍矿冶放射性废物,铀矿冶;钍矿冶;放射性金属矿;矿冶废物;尾矿放射性,铀矿;钍矿;放射性金属矿;矿冶废物;尾矿;废石;辐射环境监测,普通有色矿;普通稀土矿;无铀钍;无放射性金属,EIA;APPROVAL;PERMIT;LEDGER;SITE;MONITORING,SCN_URANIUM_THORIUM_MINING_RAD_WASTE,,矿冶环评；废物管理方案；尾矿库资料；辐射环境监测报告；废物去向,尾矿设施；废石场；监测点位；渗滤液处理设施；监测报告关键页,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
nuclear_fuel_effluent_decommissioning,核燃料循环流出物/核设施退役,核燃料加工;放射性流出物;核设施退役;场址土壤残留;归一化排放量,核燃料;放射性流出物;归一化排放量;核设施退役;场址土壤;残留放射性,普通燃料加工;普通化工退役;无核设施;无放射性流出物,EIA;APPROVAL;PERMIT;LEDGER;SITE;MONITORING,SCN_NUCLEAR_FUEL_EFFLUENT_DECOMMISSIONING,,核设施许可或环评；流出物监测报告；退役方案；场址调查；监管批复,排放/监测点标识；退役区域边界；土壤采样布点图；监测报告关键页,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
building_material_slag_radionuclide,建材工业废渣放射性物质限制,建材放射性;工业废渣原料;磷石膏;粉煤灰;冶炼渣,工业废渣;磷石膏;粉煤灰;冶炼渣;建材放射性;放射性检测;产品批次,无工业废渣;普通原料;无放射性检测要求;不使用废渣,EIA;APPROVAL;LEDGER;SITE;MONITORING,SCN_BUILDING_MATERIAL_SLAG_RADIONUCLIDE,,原料来源；放射性检测报告；配料批次台账；供应商证明；产品去向,工业废渣原料堆场；检测报告关键页；配料记录；成品批次标识,true,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
