profile_id,replacement_standard_no,obsolete_source_id,replacement_standard_title,profile_family,standard_limit_target,medium,table_or_clause_ref,source_page,source_table_index,source_row_index,pollutant_item,standard_limit_metric,metric,operator,value,unit,lower_value,lower_unit,lower_inclusive,upper_value,upper_unit,upper_inclusive,equivalent_value,equivalent_unit,limit_context,monitoring_location,raw_fragment,extraction_method,extraction_confidence,adapter_mapping_basis,human_review_status,governance_status,final_state,runtime_status,runtime_integration,candidate_only
PSLPA-V8_7-00001,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,direct_discharge_max_concentration,water,表1,6,1,6,pH 值（无量纲）,direct_discharge_max_concentration,direct_discharge_max_concentration,range,,dimensionless,6,dimensionless,TRUE,9,dimensionless,TRUE,,,direct_discharge_max_concentration,排污单位污水总排放口,pH 值（无量纲） | direct_discharge_max_concentration | 6～9,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00002,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,indirect_discharge_max_concentration,water,表1,6,1,6,pH 值（无量纲）,indirect_discharge_max_concentration,indirect_discharge_max_concentration,range,,dimensionless,6,dimensionless,TRUE,9,dimensionless,TRUE,,,indirect_discharge_max_concentration,排污单位污水总排放口,pH 值（无量纲） | indirect_discharge_max_concentration | 6～9,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00003,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,negotiated_indirect_discharge_max_concentration,water,表1,6,1,6,pH 值（无量纲）,negotiated_indirect_discharge_max_concentration,negotiated_indirect_discharge_max_concentration,range,,dimensionless,6.5,dimensionless,TRUE,9.5,dimensionless,TRUE,,,negotiated_indirect_discharge_max_concentration,排污单位污水总排放口,pH 值（无量纲） | negotiated_indirect_discharge_max_concentration | 6.5～9.5,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00004,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,direct_discharge_max_concentration,water,表1,6,1,7,色度（稀释倍数）,direct_discharge_max_concentration,direct_discharge_max_concentration,lte,50,dilution_factor,,,,,,,,,direct_discharge_max_concentration,排污单位污水总排放口,色度（稀释倍数） | direct_discharge_max_concentration | 50,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00005,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,direct_discharge_max_concentration,water,表1,6,1,9,悬浮物,direct_discharge_max_concentration,direct_discharge_max_concentration,lte,60,mg/L,,,,,,,,,direct_discharge_max_concentration,排污单位污水总排放口,悬浮物 | direct_discharge_max_concentration | 60,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00006,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,indirect_discharge_max_concentration,water,表1,6,1,9,悬浮物,indirect_discharge_max_concentration,indirect_discharge_max_concentration,lte,400,mg/L,,,,,,,,,indirect_discharge_max_concentration,排污单位污水总排放口,悬浮物 | indirect_discharge_max_concentration | 400,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00007,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,negotiated_indirect_discharge_max_concentration,water,表1,6,1,9,悬浮物,negotiated_indirect_discharge_max_concentration,negotiated_indirect_discharge_max_concentration,lte,400,mg/L,,,,,,,,,negotiated_indirect_discharge_max_concentration,排污单位污水总排放口,悬浮物 | negotiated_indirect_discharge_max_concentration | 400,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00008,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,direct_discharge_max_concentration,water,表1,6,1,11,五日生化需氧量（BOD） 5,direct_discharge_max_concentration,direct_discharge_max_concentration,lte,25,mg/L,,,,,,,,,direct_discharge_max_concentration,排污单位污水总排放口,五日生化需氧量（BOD） 5 | direct_discharge_max_concentration | 25,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00009,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,indirect_discharge_max_concentration,water,表1,6,1,11,五日生化需氧量（BOD） 5,indirect_discharge_max_concentration,indirect_discharge_max_concentration,lte,350,mg/L,,,,,,,,,indirect_discharge_max_concentration,排污单位污水总排放口,五日生化需氧量（BOD） 5 | indirect_discharge_max_concentration | 350,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00010,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,negotiated_indirect_discharge_max_concentration,water,表1,6,1,11,五日生化需氧量（BOD） 5,negotiated_indirect_discharge_max_concentration,negotiated_indirect_discharge_max_concentration,lte,1500,mg/L,,,,,,,,,negotiated_indirect_discharge_max_concentration,排污单位污水总排放口,五日生化需氧量（BOD） 5 | negotiated_indirect_discharge_max_concentration | 1 500,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00011,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,direct_discharge_max_concentration,water,表1,6,1,13,化学需氧量（COD ） Cr,direct_discharge_max_concentration,direct_discharge_max_concentration,mixed_limit_with_note,70a/80,mg/L,,,,,,,,,direct_discharge_max_concentration,排污单位污水总排放口,化学需氧量（COD ） Cr | direct_discharge_max_concentration | 70a/80,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00012,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,indirect_discharge_max_concentration,water,表1,6,1,13,化学需氧量（COD ） Cr,indirect_discharge_max_concentration,indirect_discharge_max_concentration,lte,500,mg/L,,,,,,,,,indirect_discharge_max_concentration,排污单位污水总排放口,化学需氧量（COD ） Cr | indirect_discharge_max_concentration | 500,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00013,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,negotiated_indirect_discharge_max_concentration,water,表1,6,1,13,化学需氧量（COD ） Cr,negotiated_indirect_discharge_max_concentration,negotiated_indirect_discharge_max_concentration,lte,3000,mg/L,,,,,,,,,negotiated_indirect_discharge_max_concentration,排污单位污水总排放口,化学需氧量（COD ） Cr | negotiated_indirect_discharge_max_concentration | 3 000,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00014,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,direct_discharge_max_concentration,water,表1,7,1,6,氨氮,direct_discharge_max_concentration,direct_discharge_max_concentration,lte,15,mg/L,,,,,,,,,direct_discharge_max_concentration,排污单位污水总排放口,氨氮 | direct_discharge_max_concentration | 15,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00015,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,indirect_discharge_max_concentration,water,表1,7,1,6,氨氮,indirect_discharge_max_concentration,indirect_discharge_max_concentration,lte,45,mg/L,,,,,,,,,indirect_discharge_max_concentration,排污单位污水总排放口,氨氮 | indirect_discharge_max_concentration | 45,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00016,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,negotiated_indirect_discharge_max_concentration,water,表1,7,1,6,氨氮,negotiated_indirect_discharge_max_concentration,negotiated_indirect_discharge_max_concentration,lte,200,mg/L,,,,,,,,,negotiated_indirect_discharge_max_concentration,排污单位污水总排放口,氨氮 | negotiated_indirect_discharge_max_concentration | 200,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00017,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,direct_discharge_max_concentration,water,表1,7,1,7,总氮,direct_discharge_max_concentration,direct_discharge_max_concentration,lte,25,mg/L,,,,,,,,,direct_discharge_max_concentration,排污单位污水总排放口,总氮 | direct_discharge_max_concentration | 25,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00018,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,indirect_discharge_max_concentration,water,表1,7,1,7,总氮,indirect_discharge_max_concentration,indirect_discharge_max_concentration,lte,70,mg/L,,,,,,,,,indirect_discharge_max_concentration,排污单位污水总排放口,总氮 | indirect_discharge_max_concentration | 70,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00019,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,negotiated_indirect_discharge_max_concentration,water,表1,7,1,7,总氮,negotiated_indirect_discharge_max_concentration,negotiated_indirect_discharge_max_concentration,lte,300,mg/L,,,,,,,,,negotiated_indirect_discharge_max_concentration,排污单位污水总排放口,总氮 | negotiated_indirect_discharge_max_concentration | 300,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00020,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,direct_discharge_max_concentration,water,表1,7,1,8,总磷,direct_discharge_max_concentration,direct_discharge_max_concentration,lte,2,mg/L,,,,,,,,,direct_discharge_max_concentration,排污单位污水总排放口,总磷 | direct_discharge_max_concentration | 2,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00021,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,indirect_discharge_max_concentration,water,表1,7,1,8,总磷,indirect_discharge_max_concentration,indirect_discharge_max_concentration,lte,8,mg/L,,,,,,,,,indirect_discharge_max_concentration,排污单位污水总排放口,总磷 | indirect_discharge_max_concentration | 8,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00022,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,negotiated_indirect_discharge_max_concentration,water,表1,7,1,8,总磷,negotiated_indirect_discharge_max_concentration,negotiated_indirect_discharge_max_concentration,lte,45,mg/L,,,,,,,,,negotiated_indirect_discharge_max_concentration,排污单位污水总排放口,总磷 | negotiated_indirect_discharge_max_concentration | 45,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00023,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,direct_discharge_max_concentration,water,表1,7,1,9,动植物油,direct_discharge_max_concentration,direct_discharge_max_concentration,lte,15,mg/L,,,,,,,,,direct_discharge_max_concentration,排污单位污水总排放口,动植物油 | direct_discharge_max_concentration | 15,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
PSLPA-V8_7-00024,GB 13457-2025,PDS-V8_0-0114,屠宰及肉类加工工业水污染物排放标准,EMISSION_STANDARD_LIMIT_TABLE,indirect_discharge_max_concentration,water,表1,7,1,9,动植物油,indirect_discharge_max_concentration,indirect_discharge_max_concentration,lte,100,mg/L,,,,,,,,,indirect_discharge_max_concentration,排污单位污水总排放口,动植物油 | indirect_discharge_max_concentration | 100,pymupdf_find_tables_standard_limit_adapter,HIGH,reuses permit_threshold_predicate_governance fieldset: metric/operator/value/unit/lower/upper/equivalent/raw_fragment/source_page/governance_status,APPROVED_BY_CANDY_FOR_STANDARD_LIMIT_PROFILE_ADAPTER,STANDARD_LIMIT_PROFILE_ADAPTER_APPROVED_FOR_RUNTIME_IMPORT_CONTRACT,APPROVED_STANDARD_LIMIT_PROFILE_ADAPTER,APPROVED_FOR_IMPORT_PENDING_TESTS,approved_standard_limit_profile_import_contract,TRUE
