predicate_id,sample_id,enterprise_id,predicate_type,process_id,operator,source_excerpt,evidence_strength,linked_scenario_ids,confirmation_questions,confidence,runtime_status,final_state,runtime_integration
PRED12_EIA12_SAMPLE_3311_SPRAYING__spraying_coating,EIA12_SAMPLE_3311_SPRAYING,ENT_SAMPLE_METAL_3311,process_present,spraying_coating,present,项目设置下料、焊接、喷漆房和烘干室，喷涂废气经密闭收集后进入活性炭吸附装置处理。,DIRECT,SCN_VOCS_SOLVENT_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER;SCN_RAINWATER_ACCIDENT_EMERGENCY,现场是否仍设置喷漆房和烘干室？活性炭是否更换并纳入危废台账？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_3311_SPRAYING__SCN_VOCS_SOLVENT_AND_TREATMENT,EIA12_SAMPLE_3311_SPRAYING,ENT_SAMPLE_METAL_3311,scenario_candidate,spraying_coating,candidate_activate,项目设置下料、焊接、喷漆房和烘干室，喷涂废气经密闭收集后进入活性炭吸附装置处理。,DIRECT,SCN_VOCS_SOLVENT_AND_TREATMENT,现场是否仍设置喷漆房和烘干室？活性炭是否更换并纳入危废台账？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_3311_SPRAYING__SCN_HAZWASTE_STORAGE_TRANSFER,EIA12_SAMPLE_3311_SPRAYING,ENT_SAMPLE_METAL_3311,scenario_candidate,spraying_coating,candidate_activate,项目设置下料、焊接、喷漆房和烘干室，喷涂废气经密闭收集后进入活性炭吸附装置处理。,DIRECT,SCN_HAZWASTE_STORAGE_TRANSFER,现场是否仍设置喷漆房和烘干室？活性炭是否更换并纳入危废台账？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_3311_SPRAYING__SCN_RAINWATER_ACCIDENT_EMERGENCY,EIA12_SAMPLE_3311_SPRAYING,ENT_SAMPLE_METAL_3311,scenario_candidate,spraying_coating,candidate_activate,项目设置下料、焊接、喷漆房和烘干室，喷涂废气经密闭收集后进入活性炭吸附装置处理。,DIRECT,SCN_RAINWATER_ACCIDENT_EMERGENCY,现场是否仍设置喷漆房和烘干室？活性炭是否更换并纳入危废台账？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_1512_BAIJIU__fermentation_distillation,EIA12_SAMPLE_1512_BAIJIU,ENT_SAMPLE_BAIJIU_1512,process_present,fermentation_distillation,present,粮谷经蒸煮、糖化、发酵、蒸馏、陈酿、勾兑后形成白酒产品，生产废水进入厂区污水处理站。,DIRECT,SCN_WW_PROCESS_AND_TREATMENT;SCN_RAINWATER_ACCIDENT_EMERGENCY;SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,是否为1512白酒制造而非1513啤酒制造？发酵/蒸馏和污水站是否仍在运行？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_1512_BAIJIU__wastewater_treatment_station,EIA12_SAMPLE_1512_BAIJIU,ENT_SAMPLE_BAIJIU_1512,process_present,wastewater_treatment_station,present,粮谷经蒸煮、糖化、发酵、蒸馏、陈酿、勾兑后形成白酒产品，生产废水进入厂区污水处理站。,DIRECT,SCN_WW_PROCESS_AND_TREATMENT;SCN_RAINWATER_ACCIDENT_EMERGENCY;SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,是否为1512白酒制造而非1513啤酒制造？发酵/蒸馏和污水站是否仍在运行？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_1512_BAIJIU__SCN_WW_PROCESS_AND_TREATMENT,EIA12_SAMPLE_1512_BAIJIU,ENT_SAMPLE_BAIJIU_1512,scenario_candidate,fermentation_distillation;wastewater_treatment_station,candidate_activate,粮谷经蒸煮、糖化、发酵、蒸馏、陈酿、勾兑后形成白酒产品，生产废水进入厂区污水处理站。,DIRECT,SCN_WW_PROCESS_AND_TREATMENT,是否为1512白酒制造而非1513啤酒制造？发酵/蒸馏和污水站是否仍在运行？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_1512_BAIJIU__SCN_RAINWATER_ACCIDENT_EMERGENCY,EIA12_SAMPLE_1512_BAIJIU,ENT_SAMPLE_BAIJIU_1512,scenario_candidate,fermentation_distillation;wastewater_treatment_station,candidate_activate,粮谷经蒸煮、糖化、发酵、蒸馏、陈酿、勾兑后形成白酒产品，生产废水进入厂区污水处理站。,DIRECT,SCN_RAINWATER_ACCIDENT_EMERGENCY,是否为1512白酒制造而非1513啤酒制造？发酵/蒸馏和污水站是否仍在运行？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_1512_BAIJIU__SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,EIA12_SAMPLE_1512_BAIJIU,ENT_SAMPLE_BAIJIU_1512,scenario_candidate,fermentation_distillation;wastewater_treatment_station,candidate_activate,粮谷经蒸煮、糖化、发酵、蒸馏、陈酿、勾兑后形成白酒产品，生产废水进入厂区污水处理站。,DIRECT,SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,是否为1512白酒制造而非1513啤酒制造？发酵/蒸馏和污水站是否仍在运行？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_PERMIT12_SAMPLE_8411_MEDICAL__medical_wastewater_waste_radiation,PERMIT12_SAMPLE_8411_MEDICAL,ENT_SAMPLE_MEDICAL_8411,process_present,medical_wastewater_waste_radiation,present,医院设置污水处理站和医疗废物暂存间，放射科使用DR设备并按辐射安全要求管理。,DIRECT,SCN_MEDICAL_WASTE_RADIATION;SCN_WW_PROCESS_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER,床位数、医废暂存、放射诊疗许可和污水站是否与许可证一致？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_PERMIT12_SAMPLE_8411_MEDICAL__wastewater_treatment_station,PERMIT12_SAMPLE_8411_MEDICAL,ENT_SAMPLE_MEDICAL_8411,process_present,wastewater_treatment_station,present,医院设置污水处理站和医疗废物暂存间，放射科使用DR设备并按辐射安全要求管理。,DIRECT,SCN_MEDICAL_WASTE_RADIATION;SCN_WW_PROCESS_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER,床位数、医废暂存、放射诊疗许可和污水站是否与许可证一致？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_PERMIT12_SAMPLE_8411_MEDICAL__SCN_MEDICAL_WASTE_RADIATION,PERMIT12_SAMPLE_8411_MEDICAL,ENT_SAMPLE_MEDICAL_8411,scenario_candidate,medical_wastewater_waste_radiation;wastewater_treatment_station,candidate_activate,医院设置污水处理站和医疗废物暂存间，放射科使用DR设备并按辐射安全要求管理。,DIRECT,SCN_MEDICAL_WASTE_RADIATION,床位数、医废暂存、放射诊疗许可和污水站是否与许可证一致？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_PERMIT12_SAMPLE_8411_MEDICAL__SCN_WW_PROCESS_AND_TREATMENT,PERMIT12_SAMPLE_8411_MEDICAL,ENT_SAMPLE_MEDICAL_8411,scenario_candidate,medical_wastewater_waste_radiation;wastewater_treatment_station,candidate_activate,医院设置污水处理站和医疗废物暂存间，放射科使用DR设备并按辐射安全要求管理。,DIRECT,SCN_WW_PROCESS_AND_TREATMENT,床位数、医废暂存、放射诊疗许可和污水站是否与许可证一致？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_PERMIT12_SAMPLE_8411_MEDICAL__SCN_HAZWASTE_STORAGE_TRANSFER,PERMIT12_SAMPLE_8411_MEDICAL,ENT_SAMPLE_MEDICAL_8411,scenario_candidate,medical_wastewater_waste_radiation;wastewater_treatment_station,candidate_activate,医院设置污水处理站和医疗废物暂存间，放射科使用DR设备并按辐射安全要求管理。,DIRECT,SCN_HAZWASTE_STORAGE_TRANSFER,床位数、医废暂存、放射诊疗许可和污水站是否与许可证一致？,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_2231_PRINTING__printing_gluing,EIA12_SAMPLE_2231_PRINTING,ENT_SAMPLE_PAPER_2231,process_present,printing_gluing,present,项目设置纸箱印刷和粘箱工序，使用水性油墨和胶黏剂，印刷废气经集气罩收集后处理。,DIRECT,SCN_VOCS_SOLVENT_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER;SCN_WW_PROCESS_AND_TREATMENT,是否存在印刷/粘箱工序？是否产生洗版水或废油墨桶？,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_2231_PRINTING__SCN_VOCS_SOLVENT_AND_TREATMENT,EIA12_SAMPLE_2231_PRINTING,ENT_SAMPLE_PAPER_2231,scenario_candidate,printing_gluing,candidate_activate,项目设置纸箱印刷和粘箱工序，使用水性油墨和胶黏剂，印刷废气经集气罩收集后处理。,DIRECT,SCN_VOCS_SOLVENT_AND_TREATMENT,是否存在印刷/粘箱工序？是否产生洗版水或废油墨桶？,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_2231_PRINTING__SCN_HAZWASTE_STORAGE_TRANSFER,EIA12_SAMPLE_2231_PRINTING,ENT_SAMPLE_PAPER_2231,scenario_candidate,printing_gluing,candidate_activate,项目设置纸箱印刷和粘箱工序，使用水性油墨和胶黏剂，印刷废气经集气罩收集后处理。,DIRECT,SCN_HAZWASTE_STORAGE_TRANSFER,是否存在印刷/粘箱工序？是否产生洗版水或废油墨桶？,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_2231_PRINTING__SCN_WW_PROCESS_AND_TREATMENT,EIA12_SAMPLE_2231_PRINTING,ENT_SAMPLE_PAPER_2231,scenario_candidate,printing_gluing,candidate_activate,项目设置纸箱印刷和粘箱工序，使用水性油墨和胶黏剂，印刷废气经集气罩收集后处理。,DIRECT,SCN_WW_PROCESS_AND_TREATMENT,是否存在印刷/粘箱工序？是否产生洗版水或废油墨桶？,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_7452_LAB__laboratory_waste_liquid,EIA12_SAMPLE_7452_LAB,ENT_SAMPLE_LAB_7452,process_present,laboratory_waste_liquid,present,实验室样品前处理和检测过程产生废试剂瓶、实验废液，分类收集后暂存于危废间。,DIRECT,SCN_HAZWASTE_STORAGE_TRANSFER;SCN_RAINWATER_ACCIDENT_EMERGENCY;NEW_SCN_LAB_WASTE_CANDIDATE,废液桶标签、危废代码、危废合同和应急吸附物资是否齐全？,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_7452_LAB__SCN_HAZWASTE_STORAGE_TRANSFER,EIA12_SAMPLE_7452_LAB,ENT_SAMPLE_LAB_7452,scenario_candidate,laboratory_waste_liquid,candidate_activate,实验室样品前处理和检测过程产生废试剂瓶、实验废液，分类收集后暂存于危废间。,DIRECT,SCN_HAZWASTE_STORAGE_TRANSFER,废液桶标签、危废代码、危废合同和应急吸附物资是否齐全？,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_7452_LAB__SCN_RAINWATER_ACCIDENT_EMERGENCY,EIA12_SAMPLE_7452_LAB,ENT_SAMPLE_LAB_7452,scenario_candidate,laboratory_waste_liquid,candidate_activate,实验室样品前处理和检测过程产生废试剂瓶、实验废液，分类收集后暂存于危废间。,DIRECT,SCN_RAINWATER_ACCIDENT_EMERGENCY,废液桶标签、危废代码、危废合同和应急吸附物资是否齐全？,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
PRED12_EIA12_SAMPLE_7452_LAB__NEW_SCN_LAB_WASTE_CANDIDATE,EIA12_SAMPLE_7452_LAB,ENT_SAMPLE_LAB_7452,scenario_candidate,laboratory_waste_liquid,candidate_activate,实验室样品前处理和检测过程产生废试剂瓶、实验废液，分类收集后暂存于危废间。,IMPLIED,NEW_SCN_LAB_WASTE_CANDIDATE,废液桶标签、危废代码、危废合同和应急吸附物资是否齐全？,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
