overlay_id,enterprise_id,industry_code,process_id,evidence_id,scenario_id,previous_state,overlay_status,overlay_scope,overlay_scope_reason,site_verification_status,permit_type_status,source_document_type,source_excerpt,confirmation_questions,runtime_status,final_state,runtime_integration
OVL11_PEV11_SAMPLE_3311_SPRAYING_001__SCN_VOCS_SOLVENT_AND_TREATMENT,ENT_SAMPLE_METAL_3311,3311,spraying_coating,PEV11_SAMPLE_3311_SPRAYING_001,SCN_VOCS_SOLVENT_AND_TREATMENT,CANDIDATE_RECALLED,SCENARIO_EVIDENCE_CONFIRMED,SCENARIO_WIDE,直接工序证据可确认该场景候选相关，但仍需现场核验和许可确认。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,EIA,项目设置喷漆房和烘干室，喷涂废气经密闭收集后进入活性炭吸附装置处理。,现场是否仍设置喷漆房和烘干室？活性炭吸附装置是否运行？废活性炭是否纳入危废台账？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_3311_SPRAYING_001__SCN_HAZWASTE_STORAGE_TRANSFER,ENT_SAMPLE_METAL_3311,3311,spraying_coating,PEV11_SAMPLE_3311_SPRAYING_001,SCN_HAZWASTE_STORAGE_TRANSFER,CANDIDATE_RECALLED,SCENARIO_EVIDENCE_CONFIRMED,SCENARIO_WIDE,直接工序证据可确认该场景候选相关，但仍需现场核验和许可确认。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,EIA,项目设置喷漆房和烘干室，喷涂废气经密闭收集后进入活性炭吸附装置处理。,现场是否仍设置喷漆房和烘干室？活性炭吸附装置是否运行？废活性炭是否纳入危废台账？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_3311_SPRAYING_001__SCN_RAINWATER_ACCIDENT_EMERGENCY,ENT_SAMPLE_METAL_3311,3311,spraying_coating,PEV11_SAMPLE_3311_SPRAYING_001,SCN_RAINWATER_ACCIDENT_EMERGENCY,CANDIDATE_RECALLED,SCENARIO_EVIDENCE_CONFIRMED,SCENARIO_WIDE,直接工序证据可确认该场景候选相关，但仍需现场核验和许可确认。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,EIA,项目设置喷漆房和烘干室，喷涂废气经密闭收集后进入活性炭吸附装置处理。,现场是否仍设置喷漆房和烘干室？活性炭吸附装置是否运行？废活性炭是否纳入危废台账？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_3311_PICKLING_NEG_001__SCN_WW_PROCESS_AND_TREATMENT,ENT_SAMPLE_METAL_3311,3311,electroplating_acid_pickling,PEV11_SAMPLE_3311_PICKLING_NEG_001,SCN_WW_PROCESS_AND_TREATMENT,CANDIDATE_RECALLED,NOT_APPLY_WITH_EVIDENCE,PROCESS_ONLY,否定证据只排除该工序触发，不排除同一企业因其他工序触发同一场景。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,EIA,本项目不设置电镀、酸洗、磷化等湿法表面处理工序，相关表面处理均外协。,现场是否存在电镀槽、酸洗槽或磷化槽？是否有外协合同或委外记录？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_3311_PICKLING_NEG_001__SCN_HAZWASTE_STORAGE_TRANSFER,ENT_SAMPLE_METAL_3311,3311,electroplating_acid_pickling,PEV11_SAMPLE_3311_PICKLING_NEG_001,SCN_HAZWASTE_STORAGE_TRANSFER,CANDIDATE_RECALLED,NOT_APPLY_WITH_EVIDENCE,PROCESS_ONLY,否定证据只排除该工序触发，不排除同一企业因其他工序触发同一场景。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,EIA,本项目不设置电镀、酸洗、磷化等湿法表面处理工序，相关表面处理均外协。,现场是否存在电镀槽、酸洗槽或磷化槽？是否有外协合同或委外记录？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_1512_FERMENTATION_001__SCN_WW_PROCESS_AND_TREATMENT,ENT_SAMPLE_BAIJIU_1512,1512,fermentation_distillation,PEV11_SAMPLE_1512_FERMENTATION_001,SCN_WW_PROCESS_AND_TREATMENT,CANDIDATE_RECALLED,SCENARIO_EVIDENCE_CONFIRMED,SCENARIO_WIDE,直接工序证据可确认该场景候选相关，但仍需现场核验和许可确认。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,EIA,粮谷经蒸煮、糖化、发酵、蒸馏、陈酿、勾兑后形成白酒产品，生产废水进入厂区污水处理站。,现场是否仍有发酵和蒸馏工序？年产能是否达到名录阈值？污水站是否正常运行？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_1512_FERMENTATION_001__SCN_RAINWATER_ACCIDENT_EMERGENCY,ENT_SAMPLE_BAIJIU_1512,1512,fermentation_distillation,PEV11_SAMPLE_1512_FERMENTATION_001,SCN_RAINWATER_ACCIDENT_EMERGENCY,CANDIDATE_RECALLED,SCENARIO_EVIDENCE_CONFIRMED,SCENARIO_WIDE,直接工序证据可确认该场景候选相关，但仍需现场核验和许可确认。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,EIA,粮谷经蒸煮、糖化、发酵、蒸馏、陈酿、勾兑后形成白酒产品，生产废水进入厂区污水处理站。,现场是否仍有发酵和蒸馏工序？年产能是否达到名录阈值？污水站是否正常运行？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_1512_FERMENTATION_001__SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,ENT_SAMPLE_BAIJIU_1512,1512,fermentation_distillation,PEV11_SAMPLE_1512_FERMENTATION_001,SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,CANDIDATE_RECALLED,SCENARIO_EVIDENCE_CONFIRMED,SCENARIO_WIDE,直接工序证据可确认该场景候选相关，但仍需现场核验和许可确认。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,EIA,粮谷经蒸煮、糖化、发酵、蒸馏、陈酿、勾兑后形成白酒产品，生产废水进入厂区污水处理站。,现场是否仍有发酵和蒸馏工序？年产能是否达到名录阈值？污水站是否正常运行？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_2231_PRINTING_001__SCN_VOCS_SOLVENT_AND_TREATMENT,ENT_SAMPLE_PAPER_2231,2231,printing_gluing,PEV11_SAMPLE_2231_PRINTING_001,SCN_VOCS_SOLVENT_AND_TREATMENT,CANDIDATE_RECALLED,SCENARIO_EVIDENCE_CONFIRMED,SCENARIO_WIDE,直接工序证据可确认该场景候选相关，但仍需现场核验和许可确认。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,EIA,项目设置纸箱印刷和粘箱工序，使用水性油墨和胶黏剂，印刷废气经集气罩收集后处理。,现场是否有印刷机、粘箱机？是否产生清洗废水？油墨和胶黏剂MSDS是否齐全？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_2231_PRINTING_001__SCN_HAZWASTE_STORAGE_TRANSFER,ENT_SAMPLE_PAPER_2231,2231,printing_gluing,PEV11_SAMPLE_2231_PRINTING_001,SCN_HAZWASTE_STORAGE_TRANSFER,CANDIDATE_RECALLED,SCENARIO_EVIDENCE_CONFIRMED,SCENARIO_WIDE,直接工序证据可确认该场景候选相关，但仍需现场核验和许可确认。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,EIA,项目设置纸箱印刷和粘箱工序，使用水性油墨和胶黏剂，印刷废气经集气罩收集后处理。,现场是否有印刷机、粘箱机？是否产生清洗废水？油墨和胶黏剂MSDS是否齐全？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_8411_MEDICAL_001__SCN_MEDICAL_WASTE_RADIATION,ENT_SAMPLE_MEDICAL_8411,8411,medical_wastewater_waste_radiation,PEV11_SAMPLE_8411_MEDICAL_001,SCN_MEDICAL_WASTE_RADIATION,CANDIDATE_RECALLED,SCENARIO_EVIDENCE_CONFIRMED,SCENARIO_WIDE,直接工序证据可确认该场景候选相关，但仍需现场核验和许可确认。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,PERMIT,医院设置污水处理站和医疗废物暂存间，放射科使用DR设备并按辐射安全要求管理。,床位数是否与许可一致？医废暂存间是否规范？放射诊疗许可和设备清单是否齐全？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_8411_MEDICAL_001__SCN_WW_PROCESS_AND_TREATMENT,ENT_SAMPLE_MEDICAL_8411,8411,medical_wastewater_waste_radiation,PEV11_SAMPLE_8411_MEDICAL_001,SCN_WW_PROCESS_AND_TREATMENT,CANDIDATE_RECALLED,SCENARIO_EVIDENCE_CONFIRMED,SCENARIO_WIDE,直接工序证据可确认该场景候选相关，但仍需现场核验和许可确认。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,PERMIT,医院设置污水处理站和医疗废物暂存间，放射科使用DR设备并按辐射安全要求管理。,床位数是否与许可一致？医废暂存间是否规范？放射诊疗许可和设备清单是否齐全？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_8411_MEDICAL_001__SCN_HAZWASTE_STORAGE_TRANSFER,ENT_SAMPLE_MEDICAL_8411,8411,medical_wastewater_waste_radiation,PEV11_SAMPLE_8411_MEDICAL_001,SCN_HAZWASTE_STORAGE_TRANSFER,CANDIDATE_RECALLED,SCENARIO_EVIDENCE_CONFIRMED,SCENARIO_WIDE,直接工序证据可确认该场景候选相关，但仍需现场核验和许可确认。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,PERMIT,医院设置污水处理站和医疗废物暂存间，放射科使用DR设备并按辐射安全要求管理。,床位数是否与许可一致？医废暂存间是否规范？放射诊疗许可和设备清单是否齐全？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_LAB_WASTE_001__SCN_HAZWASTE_STORAGE_TRANSFER,ENT_SAMPLE_LAB_7452,7452,laboratory_waste_liquid,PEV11_SAMPLE_LAB_WASTE_001,SCN_HAZWASTE_STORAGE_TRANSFER,CANDIDATE_RECALLED,SCENARIO_EVIDENCE_CONFIRMED,SCENARIO_WIDE,直接工序证据可确认该场景候选相关，但仍需现场核验和许可确认。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,EIA,实验室样品前处理和检测过程产生废试剂瓶、实验废液，分类收集后暂存于危废间。,实验室废液桶是否有标签？危废代码和合同是否齐全？应急吸附物资是否配置？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_LAB_WASTE_001__SCN_RAINWATER_ACCIDENT_EMERGENCY,ENT_SAMPLE_LAB_7452,7452,laboratory_waste_liquid,PEV11_SAMPLE_LAB_WASTE_001,SCN_RAINWATER_ACCIDENT_EMERGENCY,CANDIDATE_RECALLED,SCENARIO_EVIDENCE_CONFIRMED,SCENARIO_WIDE,直接工序证据可确认该场景候选相关，但仍需现场核验和许可确认。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,EIA,实验室样品前处理和检测过程产生废试剂瓶、实验废液，分类收集后暂存于危废间。,实验室废液桶是否有标签？危废代码和合同是否齐全？应急吸附物资是否配置？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OVL11_PEV11_SAMPLE_LAB_WASTE_001__NEW_SCN_LAB_WASTE_CANDIDATE,ENT_SAMPLE_LAB_7452,7452,laboratory_waste_liquid,PEV11_SAMPLE_LAB_WASTE_001,NEW_SCN_LAB_WASTE_CANDIDATE,CANDIDATE_RECALLED,NEW_SCENARIO_CANDIDATE,SCENARIO_WIDE,证据指向尚未正式入库的新场景候选，仍需ETO/ESO评审。,SITE_VERIFICATION_REQUIRED,NEED_PERMIT_CONFIRM,EIA,实验室样品前处理和检测过程产生废试剂瓶、实验废液，分类收集后暂存于危废间。,实验室废液桶是否有标签？危废代码和合同是否齐全？应急吸附物资是否配置？,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
