question_id,topic,owner_role,priority,question,preliminary_decision,decision_rationale,closure_path,required_evidence_to_close,blocks_runtime,human_review_label,human_reviewer,decision_status,source_basis,confidence,runtime_status,final_state,runtime_integration
OQ-001,GB4754_CODE_NAME_CONFLICT,ETO,P0,1512/1513等GB/T 4754小类名称与早期映射是否存在错配？正式化前需以GB/T 4754-2017原表核准代码、名称和行业边界。,CONFIRM_FIXED,代码名称错配已由ETO确认，需保留GB/T截图和修复前后清单。,FORMALIZATION_CANDIDATE_AFTER_EVIDENCE,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OQ-002,REPRESENTATIVE_SUBCLASS_SCOPE,ETO,P1,第22条等许可名录条目使用代表性小类或行业短语时，是否可外推到同组/同大类其他小类？,REJECT_INHERIT_DEFAULT,代表性小类默认不得外推，例外必须环评/许可确认。,BLOCKS_RUNTIME,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OQ-003,REPRESENTATIVE_SUBCLASS_SCOPE,ETO,P1,第36条纸浆制造221与2211、222、223之间的继承边界如何确认，是否仅限221相关小类？,LIMIT_TO_221,纸浆制造221不得继承至222/223。,FORMALIZATION_CANDIDATE_AFTER_DIFF,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OQ-004,REPRESENTATIVE_SUBCLASS_SCOPE,ETO,P1,第38条纸制品制造223是否不得继承到2211/222类条目，工业废水/废气条件如何触发？,LIMIT_TO_223_WITH_PROCESS_TRIGGER,纸制品223由工业废水/废气事实触发。,NEEDS_PROCESS_EVIDENCE,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OQ-005,GENERAL_PROCESS_TRIGGER,ETO,P1,第15条等食品/农副食品条目的通用工序触发是否只作为候选召回，不得直接推导企业许可管理类型？,RECALL_ONLY,通用工序仅召回，不直接生成permit_type。,BLOCKS_RUNTIME,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OQ-006,GENERAL_PROCESS_TRIGGER,ETO,P1,第80条等装备/金属制品相关条目中，3311等相邻小类与表面处理、喷涂、热处理等通用工序如何确认？,PROCESS_TRIGGER_MAY_APPLY,装备/金属类以表面处理、喷涂、炉窑等工序事实触发。,NEEDS_SITE_CONFIRM,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
OQ-007,TEMPLATE_SECTION_CANDIDATES,Product+ETO,P0,候选排查章节、候选子章和S18/S19等知识库章节编号是否只作为未来候选，不得映射为当前EcoCheck正式模板章节？,CANDIDATE_ONLY,候选章节/S18类编号不得接正式模板。,BLOCKS_RUNTIME,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
V03_CONTEXT_SCOPE_001,v0.3_governance,ETO,P1,DIVISION_CONTEXT条目-小类适用关系需要人工审阅后才能从MAY_APPLY/NEED_EIA升级。,RECALL_ONLY,DIVISION_CONTEXT只召回，不能直接APPLIES。,BLOCKS_RUNTIME,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
V03_PERMIT_TYPE_001,v0.3_governance,ETO,P1,所有target_management_condition只代表名录单元格类型，不得作为企业正式permit_type。,COLUMN_ONLY,target_management_condition不是正式permit_type。,BLOCKS_RUNTIME,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
V03_GENERAL_PROCESS_001,v0.3_governance,ETO,P1,109-112通用工序触发需依据企业锅炉、炉窑、表面处理、水处理事实确认。,CONFIRM_BY_SITE_OR_DOCUMENT,109-112通用工序需环评/许可/现场证据确认。,NEEDS_PROCESS_EVIDENCE,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
V03_SCENARIO_TEMPLATE_001,v0.3_governance,ETO,P1,尾矿库、餐饮油烟、实验室废液、垃圾焚烧/填埋等是否需要新增场景模板，需后续业务评审。,ADD_NEW_SCENARIO_CANDIDATES,尾矿库、实验室废液、垃圾焚烧/填埋需新增候选模板。,NEEDS_TEMPLATE_REVIEW,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
V03_ECOCHECK_RUNTIME_001,v0.3_governance,ETO,P1,候选排查项不得接EcoCheck运行时，需模板章节和扣分口径专项审批。,BLOCK_RUNTIME,运行时接入需二次审批、契约测试、回滚和审计。,BLOCKS_RUNTIME,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
V04_ENTRY_108_CONTEXT_001,ENTRY_108_STRATEGY,ETO,P0,第108条是“除1-107外的其他行业，涉及通用工序”的兜底交叉引用条目；v0.4不直接展开为条目-小类适用关系，避免被误读为独立行业覆盖。其治理口径由109-112通用工序候选关系承接，并在正式化前作为开放问题确认。,CROSS_REFERENCE_ONLY,第108条只承接109-112，不生成全行业笛卡尔关系。,FORMALIZATION_CANDIDATE_AFTER_EVIDENCE,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
V04_HUMAN_REVIEW_EMPTY_001,HUMAN_REVIEW_WORKFLOW,ETO+ESO,P0,主适用关系表human_review_label/human_reviewer/human_review_notes保持全空是待审队列状态；正式化前需定义标签枚举、抽样/全量策略、责任人和签字闭环。,DEFINE_FULL_REVIEW_FOR_P0,空人工审阅字段不得视为已确认。,BLOCKS_RUNTIME,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
V04_SCORE13_PROMOTION_001,SCORE13_SEMANTIC_LAYER,Product+ETO,P1,S01-S13报告口径保持不变，但S07/S08/S10/S13等二级语义层如何进入RAG/图谱和报告段落映射？,RAG_AND_REPORT_HINT,S01-S13一级口径不改，二级语义进RAG/报告提示。,RAG_ONLY,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
V04_RUNTIME_APPROVAL_GATE_001,RUNTIME_APPROVAL_GATE,Product+Tech Lead,P0,候选知识库何时、由谁、以何种验证证据批准进入EcoCheck运行时？,BLOCK_RUNTIME,运行时批准门禁未完成前不得投产。,BLOCKS_RUNTIME,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
V04_NEGATION_POLARITY_001,NEGATION_POLARITY,ETO,P0,含除/不含/以外/无/未的条件是否均已保留排除语义，特别是“除纳入重点排污单位名录”的not_present谓词？,POLARITY_GATE_REQUIRED,否定词必须保留not_present/excluded极性。,BLOCKS_RUNTIME,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
V04_DIVISION_CONTEXT_APPLIES_001,DIVISION_CONTEXT_DENOISE,ETO,P0,纯DIVISION_CONTEXT不得自动升级为APPLIES；未来如需升级，需直接代码/名称/条件文本证据和人工审阅记录。,NO_DIRECT_APPLIES,纯DIVISION_CONTEXT->APPLIES必须为0。,BLOCKS_RUNTIME,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
V04_NOT_APPLY_BLOCKING_FLAGS_001,NOT_APPLY_EVIDENCE,ETO,P0,NOT_APPLY必须有/、明确排除文本、相邻条目/小类排除或forced_denoise依据；无法解释的应降为待确认。,NOT_APPLY_REQUIRES_BLOCKING_FLAGS,NOT_APPLY无依据必须降级NEED_CONFIRM。,BLOCKS_RUNTIME,法规/标准原文截图;受影响候选清单;修复diff;验证报告,true,,,PRELIMINARY_NOT_CLOSED,eto_eso_open_question_decisions_v1_0_rc.md; open_questions_v0_4_1.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
