catalog_entry_no,major_category_text,industry_category_text,gb_code_fragments,target_management,candidate_code,candidate_code_level,matched_industry_name,raw_fragment,raw_condition,review_status,review_question,source_basis,confidence,runtime_status,source_page
9,八、农副食品加工业13,谷物磨制131,131,REGISTRATION,131,group,谷物磨制,谷物磨制131﹡,谷物磨制131﹡,LIKELY_GROUP_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,5
10,八、农副食品加工业13,饲料加工132,132,SIMPLIFIED,132,group,饲料加工,饲料加工132（有发酵工艺的）,饲料加工132（有发酵工艺的）﹡,LIKELY_GROUP_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,5
10,八、农副食品加工业13,饲料加工132,132,REGISTRATION,132,group,饲料加工,饲料加工132（无发酵工艺的）,饲料加工132（无发酵工艺的）﹡,LIKELY_GROUP_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,5
14,八、农副食品加工业13,水产品加工136,136,SIMPLIFIED,1361,class,水产品冷冻加工,的水产品冷冻加工1361、鱼糜制品及水产,年加工10 万吨及以上的水产品冷冻 加工1361、鱼糜制品及水产品干腌制 加工1362、鱼油提取及制品制造 1363、其他水产品加工1369,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,5
14,八、农副食品加工业13,水产品加工136,136,SIMPLIFIED,1362,class,鱼糜制品及水产品干腌制加工,水产品干腌制加工1362、鱼油提取及制品,年加工10 万吨及以上的水产品冷冻 加工1361、鱼糜制品及水产品干腌制 加工1362、鱼油提取及制品制造 1363、其他水产品加工1369,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,5
14,八、农副食品加工业13,水产品加工136,136,SIMPLIFIED,1363,class,鱼油提取及制品制造,油提取及制品制造1363、其他水产品加工,年加工10 万吨及以上的水产品冷冻 加工1361、鱼糜制品及水产品干腌制 加工1362、鱼油提取及制品制造 1363、其他水产品加工1369,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,5
14,八、农副食品加工业13,水产品加工136,136,SIMPLIFIED,1369,class,其他水产品加工,、其他水产品加工1369,年加工10 万吨及以上的水产品冷冻 加工1361、鱼糜制品及水产品干腌制 加工1362、鱼油提取及制品制造 1363、其他水产品加工1369,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,5
17,九、食品制造业14,方便食品制造143，其他食品制造149,143;149,SIMPLIFIED,1431,class,米、面制品制造,米、面制品制造1431﹡，速冻食品制造,米、面制品制造1431﹡，速冻食品制 造1432﹡，方便面制造1433﹡，其 他方便食品制造1439﹡，食品及饲料 添加剂制造1495﹡，以上均不含手工 制作、单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,6
17,九、食品制造业14,方便食品制造143，其他食品制造149,143;149,SIMPLIFIED,1432,class,速冻食品制造,﹡，速冻食品制造1432﹡，方便面制造1,米、面制品制造1431﹡，速冻食品制 造1432﹡，方便面制造1433﹡，其 他方便食品制造1439﹡，食品及饲料 添加剂制造1495﹡，以上均不含手工 制作、单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,6
17,九、食品制造业14,方便食品制造143，其他食品制造149,143;149,SIMPLIFIED,1433,class,方便面制造,2﹡，方便面制造1433﹡，其他方便食品,米、面制品制造1431﹡，速冻食品制 造1432﹡，方便面制造1433﹡，其 他方便食品制造1439﹡，食品及饲料 添加剂制造1495﹡，以上均不含手工 制作、单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,6
17,九、食品制造业14,方便食品制造143，其他食品制造149,143;149,SIMPLIFIED,1439,class,其他方便食品制造,其他方便食品制造1439﹡，食品及饲料添,米、面制品制造1431﹡，速冻食品制 造1432﹡，方便面制造1433﹡，其 他方便食品制造1439﹡，食品及饲料 添加剂制造1495﹡，以上均不含手工 制作、单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,6
17,九、食品制造业14,方便食品制造143，其他食品制造149,143;149,SIMPLIFIED,1495,class,食品及饲料添加剂制造,及饲料添加剂制造1495﹡，以上均不含手,米、面制品制造1431﹡，速冻食品制 造1432﹡，方便面制造1433﹡，其 他方便食品制造1439﹡，食品及饲料 添加剂制造1495﹡，以上均不含手工 制作、单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,6
21,十、酒、饮料和精制茶制造业15,酒的制造151,151,KEY,1511,class,酒精制造,酒精制造1511，有发酵工艺的年,酒精制造1511，有发酵工艺的年生产 能力5000 千升及以上的白酒、啤酒、 黄酒、葡萄酒、其他酒制造,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,6
29,十四、皮革、毛皮、羽毛及其制品和制鞋业19,"皮革鞣制加工191，毛皮鞣制及制品加
工193",191;193,SIMPLIFIED,191,group,皮革鞣制加工,皮革鞣制加工191（无鞣制工序的）,皮革鞣制加工191（无鞣制工序的）,LIKELY_GROUP_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,7
29,十四、皮革、毛皮、羽毛及其制品和制鞋业19,"皮革鞣制加工191，毛皮鞣制及制品加
工193",191;193,REGISTRATION,193,group,毛皮鞣制及制品加工,皮鞣制及制品加工193（无鞣制工序的）,毛皮鞣制及制品加工193（无鞣制工序 的）,LIKELY_GROUP_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,7
31,十四、皮革、毛皮、羽毛及其制品和制鞋业19,羽毛(绒)加工及制品制造194,194,KEY,1941,class,羽毛(绒)加工,羽毛（绒）加工1941（有水洗工序的）,羽毛（绒）加工1941（有水洗工序的）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,7
31,十四、皮革、毛皮、羽毛及其制品和制鞋业19,羽毛(绒)加工及制品制造194,194,REGISTRATION,1941,class,羽毛(绒)加工,羽毛（绒）加工1941（无水洗工序的）,羽毛（绒）加工1941（无水洗工序的） ﹡，羽毛（绒）制品制造1942﹡,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,7
31,十四、皮革、毛皮、羽毛及其制品和制鞋业19,羽毛(绒)加工及制品制造194,194,REGISTRATION,1942,class,羽毛(绒)制品加工,毛（绒）制品制造1942﹡,羽毛（绒）加工1941（无水洗工序的） ﹡，羽毛（绒）制品制造1942﹡,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,7
33,十五、木材加工和木、竹、藤、棕、草制品业20,人造板制造202,202,SIMPLIFIED,2022,class,纤维板制造,的）、纤维板制造2022、刨花板制造20,除重点管理以外的胶合板制造2021 （年产10 万立方米及以上的）、纤 维板制造2022、刨花板制造2023、 其他人造板制造2029（年产10 万立 方米及以上的）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,8
33,十五、木材加工和木、竹、藤、棕、草制品业20,人造板制造202,202,SIMPLIFIED,2023,class,刨花板制造,22、刨花板制造2023、其他人造板制造,除重点管理以外的胶合板制造2021 （年产10 万立方米及以上的）、纤 维板制造2022、刨花板制造2023、 其他人造板制造2029（年产10 万立 方米及以上的）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,8
37,十七、造纸和纸制品业22,造纸222,222,KEY,2221,class,机制纸及纸板制造,机制纸及纸板制造2221、手工纸制造22,机制纸及纸板制造2221、手工纸制造 2222,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,8
37,十七、造纸和纸制品业22,造纸222,222,KEY,2222,class,手工纸制造,21、手工纸制造2222,机制纸及纸板制造2221、手工纸制造 2222,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,8
37,十七、造纸和纸制品业22,造纸222,222,SIMPLIFIED,2223,class,加工纸制造,排放的加工纸制造2223,有工业废水和废气排放的加工纸制 造2223,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,8
37,十七、造纸和纸制品业22,造纸222,222,REGISTRATION,2223,class,加工纸制造,理外的加工纸制造2223﹡,除简化管理外的加工纸制造2223﹡,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,8
42,二十、石油、煤炭及其他燃料加工业25,精炼石油产品制造251,251,KEY,2511,class,原油加工及石油制品制造,工及石油制品制造2511，其他原油制造2,原油加工及石油制品制造2511，其他 原油制造2519，以上均不含单纯混合 或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
42,二十、石油、煤炭及其他燃料加工业25,精炼石油产品制造251,251,KEY,2519,class,其他原油制造,1，其他原油制造2519，以上均不含单纯,原油加工及石油制品制造2511，其他 原油制造2519，以上均不含单纯混合 或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
43,二十、石油、煤炭及其他燃料加工业25,煤炭加工252,252,KEY,2521,class,炼焦,炼焦2521，煤制合成气生产,炼焦2521，煤制合成气生产2522， 煤制液体燃料生产2523,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
43,二十、石油、煤炭及其他燃料加工业25,煤炭加工252,252,KEY,2522,class,煤制合成气生产,，煤制合成气生产2522，煤制液体燃料生,炼焦2521，煤制合成气生产2522， 煤制液体燃料生产2523,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
43,二十、石油、煤炭及其他燃料加工业25,煤炭加工252,252,KEY,2523,class,煤制液体燃料生产,煤制液体燃料生产2523,炼焦2521，煤制合成气生产2522， 煤制液体燃料生产2523,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
43,二十、石油、煤炭及其他燃料加工业25,煤炭加工252,252,REGISTRATION,2524,class,煤制品制造,煤制品制造2524，其他煤炭加工2,煤制品制造2524，其他煤炭加工2529,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
43,二十、石油、煤炭及其他燃料加工业25,煤炭加工252,252,REGISTRATION,2529,class,其他煤炭加工,4，其他煤炭加工2529,煤制品制造2524，其他煤炭加工2529,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,KEY,2611,class,无机酸制造,无机酸制造2611，无机碱制造26,无机酸制造2611，无机碱制造2612， 无机盐制造2613 ，有机化学原料制造 2614，其他基础化学原料制造2619（非 金属无机氧化物、金属氧化物、金属 过氧化物、金属超氧化物、硫磺、磷、 硅、精硅、硒、砷、硼、碲)，以上均 不含单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,KEY,2612,class,无机碱制造,11，无机碱制造2612，无机盐制造26,无机酸制造2611，无机碱制造2612， 无机盐制造2613 ，有机化学原料制造 2614，其他基础化学原料制造2619（非 金属无机氧化物、金属氧化物、金属 过氧化物、金属超氧化物、硫磺、磷、 硅、精硅、硒、砷、硼、碲)，以上均 不含单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,KEY,2613,class,无机盐制造,12，无机盐制造2613，有机化学原料制,无机酸制造2611，无机碱制造2612， 无机盐制造2613 ，有机化学原料制造 2614，其他基础化学原料制造2619（非 金属无机氧化物、金属氧化物、金属 过氧化物、金属超氧化物、硫磺、磷、 硅、精硅、硒、砷、硼、碲)，以上均 不含单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,KEY,2614,class,有机化学原料制造,有机化学原料制造2614，其他基础化学原,无机酸制造2611，无机碱制造2612， 无机盐制造2613 ，有机化学原料制造 2614，其他基础化学原料制造2619（非 金属无机氧化物、金属氧化物、金属 过氧化物、金属超氧化物、硫磺、磷、 硅、精硅、硒、砷、硼、碲)，以上均 不含单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,KEY,2619,class,其他基础化学原料制造,基础化学原料制造2619（非金属无机氧化,无机酸制造2611，无机碱制造2612， 无机盐制造2613 ，有机化学原料制造 2614，其他基础化学原料制造2619（非 金属无机氧化物、金属氧化物、金属 过氧化物、金属超氧化物、硫磺、磷、 硅、精硅、硒、砷、硼、碲)，以上均 不含单纯混合或者分装的,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,SIMPLIFIED,2611,class,无机酸制造,分装的无机酸制造2611、无机碱制造26,单纯混合或者分装的无机酸制造 2611、无机碱制造2612、无机盐制造 2613、有机化学原料制造2614、其他 基础化学原料制造2619（非金属无机 氧化物、金属氧化物、金属过氧化物、 金属超氧化物、硫磺、磷、硅、精硅、 硒、砷、硼、碲）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,SIMPLIFIED,2612,class,无机碱制造,11、无机碱制造2612、无机盐制造26,单纯混合或者分装的无机酸制造 2611、无机碱制造2612、无机盐制造 2613、有机化学原料制造2614、其他 基础化学原料制造2619（非金属无机 氧化物、金属氧化物、金属过氧化物、 金属超氧化物、硫磺、磷、硅、精硅、 硒、砷、硼、碲）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,SIMPLIFIED,2613,class,无机盐制造,12、无机盐制造2613、有机化学原料制,单纯混合或者分装的无机酸制造 2611、无机碱制造2612、无机盐制造 2613、有机化学原料制造2614、其他 基础化学原料制造2619（非金属无机 氧化物、金属氧化物、金属过氧化物、 金属超氧化物、硫磺、磷、硅、精硅、 硒、砷、硼、碲）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
45,二十一、化学原料和化学制品制造业26,基础化学原料制造261,261,SIMPLIFIED,2614,class,有机化学原料制造,有机化学原料制造2614、其他基础化学原,单纯混合或者分装的无机酸制造 2611、无机碱制造2612、无机盐制造 2613、有机化学原料制造2614、其他 基础化学原料制造2619（非金属无机 氧化物、金属氧化物、金属过氧化物、 金属超氧化物、硫磺、磷、硅、精硅、 硒、砷、硼、碲）,LIKELY_CLASS_CODE_NEED_SCOPE_CONFIRM,该数字是否为名录条件中的行业代码范围/例外项，而不是规模阈值或脚注编号？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv; industry_catalog_base.csv GB/T 4754 base,LOW,DRAFT_NOT_FOR_RUNTIME,9
