catalog_entry_no,major_category_text,industry_category_text,gb_code_fragments,target_management,predicate_type,metric,operator,value,unit,lower_value,lower_unit,lower_inclusive,upper_value,upper_unit,upper_inclusive,equivalent_value,equivalent_unit,metric_source_keyword,metric_inference,raw_fragment,raw_condition,governance_status,review_question,source_basis,confidence,runtime_status,source_page
12,八、农副食品加工业13,制糖业134,134,KEY,threshold,daily_sugar_processing_capacity,gte,1000,ton_per_day,,,,,,,,,日加工糖料能力,DIRECT_PREFIX,日加工糖料能力1000吨及以上,日加工糖料能力1000 吨及以上的原 糖、成品糖或者精制糖生产,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,KEY,threshold,annual_slaughter_pig,gte,100000,head_per_year,,,,,,,,,年屠宰生猪,DIRECT_PREFIX,年屠宰生猪10万头及以上,年屠宰生猪10 万头及以上的，年屠 宰肉牛1 万头及以上的，年屠宰肉羊 15 万头及以上的，年屠宰禽类1000 万只及以上的,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,KEY,threshold,annual_slaughter_cattle,gte,10000,head_per_year,,,,,,,,,年屠宰肉牛,DIRECT_PREFIX,年屠宰肉牛1万头及以上,年屠宰生猪10 万头及以上的，年屠 宰肉牛1 万头及以上的，年屠宰肉羊 15 万头及以上的，年屠宰禽类1000 万只及以上的,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,KEY,threshold,annual_slaughter_sheep,gte,150000,head_per_year,,,,,,,,,年屠宰肉羊,DIRECT_PREFIX,年屠宰肉羊15万头及以上,年屠宰生猪10 万头及以上的，年屠 宰肉牛1 万头及以上的，年屠宰肉羊 15 万头及以上的，年屠宰禽类1000 万只及以上的,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,KEY,threshold,annual_slaughter_poultry,gte,10000000,head_per_year,,,,,,,,,年屠宰禽类,DIRECT_PREFIX,年屠宰禽类1000万只及以上,年屠宰生猪10 万头及以上的，年屠 宰肉牛1 万头及以上的，年屠宰肉羊 15 万头及以上的，年屠宰禽类1000 万只及以上的,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,SIMPLIFIED,threshold_range,annual_slaughter_pig,gte_and_lt,,,20000,head_per_year,True,100000,head_per_year,False,,,年屠宰生猪,DIRECT_PREFIX,年屠宰生猪2万头及以上10万头以下,年屠宰生猪2 万头及以上10 万头以 下的，年屠宰肉牛0.2 万头及以上1 万头以下的，年屠宰肉羊2.5 万头及 以上15 万头以下的，年屠宰禽类100 万只及以上1000 万只以下的，年加 工肉禽类2 万吨及以上的,DRAFT_RANGE_PREDICATE_NEED_BOUNDARY_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,SIMPLIFIED,threshold_range,annual_slaughter_cattle,gte_and_lt,,,2000,head_per_year,True,10000,head_per_year,False,,,年屠宰肉牛,DIRECT_PREFIX,年屠宰肉牛0.2万头及以上1万头以下,年屠宰生猪2 万头及以上10 万头以 下的，年屠宰肉牛0.2 万头及以上1 万头以下的，年屠宰肉羊2.5 万头及 以上15 万头以下的，年屠宰禽类100 万只及以上1000 万只以下的，年加 工肉禽类2 万吨及以上的,DRAFT_RANGE_PREDICATE_NEED_BOUNDARY_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,SIMPLIFIED,threshold_range,annual_slaughter_sheep,gte_and_lt,,,25000,head_per_year,True,150000,head_per_year,False,,,年屠宰肉羊,DIRECT_PREFIX,年屠宰肉羊2.5万头及以上15万头以下,年屠宰生猪2 万头及以上10 万头以 下的，年屠宰肉牛0.2 万头及以上1 万头以下的，年屠宰肉羊2.5 万头及 以上15 万头以下的，年屠宰禽类100 万只及以上1000 万只以下的，年加 工肉禽类2 万吨及以上的,DRAFT_RANGE_PREDICATE_NEED_BOUNDARY_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,SIMPLIFIED,threshold_range,annual_slaughter_poultry,gte_and_lt,,,1000000,head_per_year,True,10000000,head_per_year,False,,,年屠宰禽类,DIRECT_PREFIX,年屠宰禽类100万只及以上1000万只以下,年屠宰生猪2 万头及以上10 万头以 下的，年屠宰肉牛0.2 万头及以上1 万头以下的，年屠宰肉羊2.5 万头及 以上15 万头以下的，年屠宰禽类100 万只及以上1000 万只以下的，年加 工肉禽类2 万吨及以上的,DRAFT_RANGE_PREDICATE_NEED_BOUNDARY_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,SIMPLIFIED,threshold,annual_meat_poultry_processing,gte,20000,ton_per_year,,,,,,,,,年加工肉禽类,DIRECT_PREFIX,年加工肉禽类2万吨及以上,年屠宰生猪2 万头及以上10 万头以 下的，年屠宰肉牛0.2 万头及以上1 万头以下的，年屠宰肉羊2.5 万头及 以上15 万头以下的，年屠宰禽类100 万只及以上1000 万只以下的，年加 工肉禽类2 万吨及以上的,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
14,八、农副食品加工业13,水产品加工136,136,SIMPLIFIED,threshold,annual_processing_capacity,gte,100000,ton_per_year,,,,,,,,,年加工,DIRECT_PREFIX,年加工10万吨及以上,年加工10 万吨及以上的水产品冷冻 加工1361、鱼糜制品及水产品干腌制 加工1362、鱼油提取及制品制造 1363、其他水产品加工1369,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
16,八、农副食品加工业13,其他农副食品加工139,139,KEY,threshold,annual_processing_capacity,gte,10000,ton_per_year,,,,,,,,,年加工能力,DIRECT_PREFIX,年加工能力15万吨玉米或者1.5万吨薯类及以上的淀粉生产或者年产1万吨及以上,年加工能力15 万吨玉米或者1.5 万 吨薯类及以上的淀粉生产或者年产1 万吨及以上的淀粉制品生产，有发酵 工艺的淀粉制品,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
16,八、农副食品加工业13,其他农副食品加工139,139,SIMPLIFIED,threshold,annual_processing_capacity,gte,15000,ton_per_year,,,,,,,,,年加工能力,DIRECT_PREFIX,除重点管理以外的年加工能力1.5万吨及以上,除重点管理以外的年加工能力1.5 万 吨及以上玉米、0.1 万吨及以上薯类 或豆类、4.5 万吨及以上小麦的淀粉 生产、年产0.1 万吨及以上的淀粉制 品生产（不含有发酵工艺的淀粉制 品）,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
16,八、农副食品加工业13,其他农副食品加工139,139,SIMPLIFIED,threshold,annual_processing_capacity,gte,1000,ton_per_year,,,,,,,,,年加工能力,INHERITED_FROM_LEFT_CONTEXT,0.1万吨及以上,除重点管理以外的年加工能力1.5 万 吨及以上玉米、0.1 万吨及以上薯类 或豆类、4.5 万吨及以上小麦的淀粉 生产、年产0.1 万吨及以上的淀粉制 品生产（不含有发酵工艺的淀粉制 品）,DRAFT_INHERITED_METRIC_NEED_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
16,八、农副食品加工业13,其他农副食品加工139,139,SIMPLIFIED,threshold,annual_processing_capacity,gte,45000,ton_per_year,,,,,,,,,年加工能力,INHERITED_FROM_LEFT_CONTEXT,4.5万吨及以上,除重点管理以外的年加工能力1.5 万 吨及以上玉米、0.1 万吨及以上薯类 或豆类、4.5 万吨及以上小麦的淀粉 生产、年产0.1 万吨及以上的淀粉制 品生产（不含有发酵工艺的淀粉制 品）,DRAFT_INHERITED_METRIC_NEED_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
16,八、农副食品加工业13,其他农副食品加工139,139,SIMPLIFIED,threshold,annual_output,gte,1000,ton_per_year,,,,,,,,,年产,DIRECT_PREFIX,年产0.1万吨及以上,除重点管理以外的年加工能力1.5 万 吨及以上玉米、0.1 万吨及以上薯类 或豆类、4.5 万吨及以上小麦的淀粉 生产、年产0.1 万吨及以上的淀粉制 品生产（不含有发酵工艺的淀粉制 品）,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
19,九、食品制造业14,乳制品制造144,144,KEY,threshold,annual_processing_capacity,gte,200000,ton_per_year,,,,,,,,,年加工,DIRECT_PREFIX,年加工20万吨及以上,年加工20 万吨及以上的（不含单纯 混合或者分装的）,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
19,九、食品制造业14,乳制品制造144,144,SIMPLIFIED,threshold,annual_processing_capacity,lt,200000,ton_per_year,,,,,,,,,年加工,DIRECT_PREFIX,年加工20万吨以下,年加工20 万吨以下的（不含单纯混 合或者分装的）﹡,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
20,九、食品制造业14,调味品、发酵制品制造146,146,KEY,threshold,annual_output,gte,20000,ton_per_year,,,,,,,,,年产,DIRECT_PREFIX,年产2万吨及以上,有发酵工艺的味精、柠檬酸、赖氨酸、 酵母制造，年产2 万吨及以上且有发 酵工艺的酱油、食醋制造,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
21,十、酒、饮料和精制茶制造业15,酒的制造151,151,KEY,threshold,annual_production_capacity,gte,5000,kiloliter_per_year,,,,,,,,,年生产能力,DIRECT_PREFIX,有发酵工艺的年生产能力5000千升及以上,酒精制造1511，有发酵工艺的年生产 能力5000 千升及以上的白酒、啤酒、 黄酒、葡萄酒、其他酒制造,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
21,十、酒、饮料和精制茶制造业15,酒的制造151,151,SIMPLIFIED,threshold,annual_production_capacity,lt,5000,kiloliter_per_year,,,,,,,,,年生产能力,DIRECT_PREFIX,有发酵工艺的年生产能力5000千升以下,有发酵工艺的年生产能力5000 千升 以下的白酒、啤酒、黄酒、葡萄酒、 其他酒制造﹡,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,6
32,十四、皮革、毛皮、羽毛及其制品和制鞋业19,制鞋业195,195,SIMPLIFIED,threshold,annual_material_use,gte,10,ton_per_year,,,,,,,,,年使用,DIRECT_PREFIX,除重点管理以外的年使用10吨及以上,除重点管理以外的年使用10 吨及以 上溶剂型胶粘剂或者3 吨及以上溶剂 型处理剂的,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
32,十四、皮革、毛皮、羽毛及其制品和制鞋业19,制鞋业195,195,SIMPLIFIED,threshold,annual_material_use,gte,3,ton_per_year,,,,,,,,,年使用,INHERITED_FROM_LEFT_CONTEXT,溶剂型胶粘剂或者3吨及以上,除重点管理以外的年使用10 吨及以 上溶剂型胶粘剂或者3 吨及以上溶剂 型处理剂的,DRAFT_INHERITED_METRIC_NEED_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,7
33,十五、木材加工和木、竹、藤、棕、草制品业20,人造板制造202,202,SIMPLIFIED,threshold,annual_output,gte,100000,cubic_meter_per_year,,,,,,,,,年产,DIRECT_PREFIX,除重点管理以外的胶合板制造2021（年产10万立方米及以上,除重点管理以外的胶合板制造2021 （年产10 万立方米及以上的）、纤 维板制造2022、刨花板制造2023、 其他人造板制造2029（年产10 万立 方米及以上的）,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,8
33,十五、木材加工和木、竹、藤、棕、草制品业20,人造板制造202,202,SIMPLIFIED,threshold,annual_output,gte,100000,cubic_meter_per_year,,,,,,,,,年产,DIRECT_PREFIX,其他人造板制造2029（年产10万立方米及以上,除重点管理以外的胶合板制造2021 （年产10 万立方米及以上的）、纤 维板制造2022、刨花板制造2023、 其他人造板制造2029（年产10 万立 方米及以上的）,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,8
35,十六、家具制造业21,"木质家具制造211，竹、藤家具制造
212，金属家具制造213，塑料家具制
造214，其他家具制造219",211;212;213;214;219,SIMPLIFIED,threshold,annual_material_use,gte,10,ton_per_year,,,,,,,,,年使用,DIRECT_PREFIX,除重点管理以外的年使用10吨及以上,除重点管理以外的年使用10 吨及以 上溶剂型涂料或者胶粘剂（含稀释 剂、固化剂）的、年使用20 吨及以 上水性涂料或者胶粘剂的、有磷化表 面处理工艺的,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,8
35,十六、家具制造业21,"木质家具制造211，竹、藤家具制造
212，金属家具制造213，塑料家具制
造214，其他家具制造219",211;212;213;214;219,SIMPLIFIED,threshold,annual_material_use,gte,20,ton_per_year,,,,,,,,,年使用,DIRECT_PREFIX,年使用20吨及以上,除重点管理以外的年使用10 吨及以 上溶剂型涂料或者胶粘剂（含稀释 剂、固化剂）的、年使用20 吨及以 上水性涂料或者胶粘剂的、有磷化表 面处理工艺的,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,8
39,十八、印刷和记录媒介复制业23,印刷231,231,SIMPLIFIED,threshold,annual_material_use,gte,80,ton_per_year,,,,,,,,,年使用,DIRECT_PREFIX,除重点管理以外的年使用80吨及以上,除重点管理以外的年使用80 吨及以 上溶剂型油墨、涂料或者10 吨及以 上溶剂型稀释剂的包装装潢印刷,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,8
39,十八、印刷和记录媒介复制业23,印刷231,231,SIMPLIFIED,threshold,annual_material_use,gte,10,ton_per_year,,,,,,,,,年使用,INHERITED_FROM_LEFT_CONTEXT,涂料或者10吨及以上,除重点管理以外的年使用80 吨及以 上溶剂型油墨、涂料或者10 吨及以 上溶剂型稀释剂的包装装潢印刷,DRAFT_INHERITED_METRIC_NEED_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,8
61,二十四、橡胶和塑料制品业29,橡胶制品业291,291,SIMPLIFIED,threshold,annual_rubber_consumption,gte,2000,ton_per_year,,,,,,,,,年耗胶量,DIRECT_PREFIX,年耗胶量2000吨及以上,除重点管理以外的轮胎制造2911、年 耗胶量2000 吨及以上的橡胶板、管、 带制造2912、橡胶零件制造2913、再 生橡胶制造2914、日用及医用橡胶制 品制造 2915、运动场地用塑胶制造 2916、其他橡胶制品制造2919,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,12
62,二十四、橡胶和塑料制品业29,塑料制品业292,292,SIMPLIFIED,threshold,annual_output,gte,10000,ton_per_year,,,,,,,,,年产,DIRECT_PREFIX,年产1万吨及以上,年产 1 万吨及以上的泡沫塑料制造 2924，年产1 万吨及以上涉及改性的 塑料薄膜制造2921、塑料板、管、型 材制造2922、塑料丝、绳和编织品制 造 2923、塑料包装箱及容器制造 2926、日用塑料品制造2927、人造草 坪制造2928、塑料零件及其他塑料制 品制造2929,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,12
68,二十五、非金属矿物制品业30,陶瓷制品制造307,307,KEY,threshold,annual_output,gte,1500000,piece_per_year,,,,,,,,,年产,DIRECT_PREFIX,卫生陶瓷制品制造3072（年产150万件及以上,建筑陶瓷制品制造3071（以煤、石油 焦、油和发生炉煤气为燃料的），卫 生陶瓷制品制造3072（年产150 万件 及以上的），日用陶瓷制品制造3074 （年产250 万件及以上的）,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,13
